Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label_x,Sentiment,Sentiment Score
"'I know. And pregnant women can be a real bitch. Sadly, I know from experience. Ah well. Lifes no longer like that.'",No,the tweet does not contain any references to race or People of African Descent,No,the author's motivation does not appear to be hateful or racist as the content focuses on personal experience with pregnant women,Hate,Negative,-0.8321
'If I ain't meet her I 'ont like her' shut the fuck up bitch no one fucking like you skank ass as it is hoe,No,this tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation appears to be expressing anger and frustration rather than racial hatred,Hate,Negative,-0.8275
'Sable is a Whore and a Cunt!' - Sunny Destroys Sable: via @user,No,the tweet does not explicitly mention race or target People of African Descent,No,the author's motivation seems to be focused on personal insult rather than racial animus,Hate,Negative,-0.8622
"'We women are so crazy and hysterical' I don't see women, cis or trans, killing people for the petteist shit becaus…",No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses women and does not reference race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to critique a stereotype about women rather than express hate,Non-hate,Negative,-0.9096
'Where do you see yourself in 5 years?' Me-,No,the tweet does not contain any content that targets or discriminates against People of African Descent,No,the author's motivation is not hateful or racist as the tweet is neutral and does not express any negative sentiment,Non-hate,Neutral,0.0
'Y'all are fucked up man. You wouldn't be doin this shit if I was white!',No,the tweet does not explicitly contain racial hate speech against Black people as it does not target them specifically or use derogatory terms,Yes,the author's motivation appears to be based on a perception of racial bias suggesting frustration with perceived unfair treatment based on their race,Non-hate,Negative,-0.8733
"'aw, does the little slut love when mommy touches them? you're such a whiny mess right now. such a good whore for me, angel.'",No,the tweet does not contain racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist it appears to be directed at an individual with no racial context,Non-hate,Negative,-0.5401
'this bitch won't stop riding his dick' LMFAO,No,this tweet does not contain any racial hate speech against People of African Descent Black people it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express a personal opinion without racial implications,Hate,Negative,-0.2451
... while just down the coast our San Diego team was continuing to take #OFAction supporting immigrant friends and neighbors because #FamiliesBelongTogether.,No,the tweet does not contain racial hate speech against People of African Descent Black people it discusses support for immigrant rights and families without targeting any racial group,No,the author's motivation for writing the tweet is not hateful or racist it focuses on solidarity and support for immigrants and does not express animosity toward any group,Non-hate,Positive,0.7184
".@BarackObama is a progressive, an intellectual, and in many ways a humanitarian, in stark contrast our current imbecile and truly dangerous president. However, we must remember Obama's contribution to the #MassIncarceration of immigrants and the separation of immigrant families.",No,the tweet does not contain racial hate speech against Black people as it critiques a public figure's policies without targeting a racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on political disagreement rather than promoting hate or discrimination,Non-hate,Neutral,-0.0258
".@violetstirling - according to this video by @user , Iranian refugees in Sydney and Melbourne go home to Iran on vacation. Y'know, the place they're fleeing.https://t.co/QrytSoOKio",No,the tweet does not contain any racial hate speech against People of African Descent as it discusses Iranian refugees and does not reference Black people or any racial group in a derogatory manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist as the focus is on the situation of Iranian refugees rather than promoting discrimination or hate,Hate,Neutral,0.0
10 minutes into free tinder dinner and chill and he gives you this look... 😷,No,the tweet does not contain any explicit racial hate speech against Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to describe a personal experience without targeting any racial group,Non-hate,Positive,0.5106
1956 America Still Had God...: via @user  beneath the cross of Jesus...what would wash away my sin Jesus Blood...,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist,Non-hate,Negative,-0.3612
25 Straight Minutes Of Illegal Aliens Crossing Into US Through Arizona Ranch #MakePolioGreatAgain #BuildTheWallNow #DeportThemAll #NoAmnesty #NoDACA #DemocratsAreDangerous,No,"the tweet does not specifically target People of African Descent and focuses on immigration issues rather than race,",Yes,the author's motivation appears to be hateful as it promotes negative sentiments towards a group of people based on their immigration status,Hate,Negative,-0.4019
5 Tunisians try to rape Lampedusa woman (3) #news #show #technology #sport #economy #cinema #football #world,No,", the tweet does not contain explicit racial hate speech against Black people as it mentions Tunisians and does not reference race or ethnicity in a derogatory manner",No,", the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a specific incident without generalizing about a racial group",Non-hate,Negative,-0.6908
"500,000+ South Koreans Sign Petition Opposing Muslim Immigration. Are they racist white supremacists too?",No,the tweet does not contain racial hate speech against Black people as it discusses Muslims and not People of African Descent,No,the author's motivation is not explicitly hateful or racist as they are questioning the labeling of a group without expressing a clear stance themselves,Hate,Negative,-0.7184
70% of Credible Fear Migrants Caught By Border Patrol Once Released into the U.S they never file Asylum ICE has to find them amd deport     #RedNationRising #Trump #MAGA  Illegal's #StopAsylumScam  Illegal #FamiliesBelongTogether in their Country Not the U.S Stop #immigration,No,the tweet does not contain racial hate speech against People of African Descent Black people are not specifically targeted or mentioned in a derogatory manner,No,the author's motivation appears to be focused on immigration policy rather than expressing hatred or racism towards a specific racial group,Hate,Negative,-0.7106
92% of foreign nationals in federal prisons are illegal aliens #SecureTheBorder #StopTheInvasion,No,this tweet does not specifically target People of African Descent or contain racial hate speech it discusses foreign nationals in a general context without racial implications,No,the author's motivation appears to be focused on immigration policy rather than expressing hate or racism towards a specific racial group,Hate,Negative,-0.5574
99% of women in the olympics look like beefy dikes,No,the tweet does not specifically target People of African Descent and does not contain explicit racial hate speech against them,No,the author's motivation appears to be derogatory towards women in general rather than specifically hateful or racist towards a racial group,Hate,Positive,0.3612
@user  Fake News it is not a new Stephen Miller Rule. the Public Charge rule has been part of the U.S #Immigration law  since 1882.  Why Should  U.S Taxpayers give Welfare to Immigrants and import the World's poor  ! #Veterans  #Trump #MAGA,No,the tweet does not contain racial hate speech against People of African Descent Black people as it does not mention race or target a specific racial group,Yes,the author's motivation for writing the tweet appears to be critical of immigration policies rather than hateful or racist as it focuses on economic concerns related to welfare and taxpayers,Hate,Negative,-0.7574
"@user  Parliament who trusts who any more more lies in putting up Petrol Prices and leaving EU will pay for the NHS lies Tax rises whose Health are we paying for really foreign staff interpreters support workers ,u managed to change immigration pol",No,the tweet does not contain explicit racial hate speech against People of African Descent Black people,No,the author's motivation appears to be frustration with political issues rather than hate or racism,Hate,Negative,-0.1953
"@user ""Illegal Immigrants Distort Congressional Representation and Federal Programs""https://t.co/ZCK1SocxlB",No,the tweet does not specifically target People of African Descent or contain language that is racially hateful,No,the author's motivation seems to be focused on immigration issues rather than racial hatred or discrimination,Non-hate,Negative,-0.7096
"@user #1 illegal aliens, millions of EWI people robbing, maiming, killing our citizens, taking our jobs, fleecing our taxpayers.#votered@realDonaldTrump @user @user @user #AmericaisforAmericans#legalvettedimmigrationonly#boycottvicela",No,the tweet does not specifically mention race or target People of African Descent directly,No,the motivation appears to be focused on immigration issues rather than racial hatred,Hate,Negative,-0.8402
@user #PatriotsUnite this gentleman needs a few facts to maybe change his mind. #BuildThatWall What did Obama do to stop this? Not a Damon thing. Do you know let these immigrants in is Bill Clinton. So do your research. Parents jeopardized thei,No,the tweet does not contain racial hate speech against People of African Descent Black people the content focuses on immigration and political figures rather than race,Yes,the author's motivation appears to be politically charged and critical of certain politicians but it does not explicitly express hatred or racism towards a racial group,Hate,Negative,-0.296
@user #WeLoveYouConnor Oxymoron Of The Day: 'Independent Women',No,the tweet does not contain any explicit racial hate speech against Black people,No,the author's motivation does not appear to be hateful or racist as the tweet discusses a phrase without targeting any specific racial group,Non-hate,Negative,-0.128
"@user #johnfkelly. I remember the golden woman years in the NJ State Police being callked a cunt for 20 years. Sacred,I think not",No,", the tweet does not contain any explicit racial hate speech against People of African Descent Black people because it does not mention race or ethnicity in a derogatory manner",No,", the author's motivation for writing the tweet does not appear to be hateful or racist as it discusses personal experiences without targeting a specific racial group",Non-hate,Negative,-0.4939
@user ... telling inappropriate jokes can feel like rape 2 a woman cuz she is the one going thru the psychological trauma hearing that...,No,the tweet does not contain racial hate speech against People of African Descent Black people because it does not mention race or target any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist because they are discussing the impact of inappropriate jokes on women without any racial context,Non-hate,Negative,-0.6124
@user 1 in 3 women hahahahahahaha will you ever fuck off!!!!!! Stupid cunt,No,the tweet does not contain any specific reference to race or racial identity,No,the author's motivation appears to be more about personal frustration or anger rather than racial hatred,Hate,Negative,-0.9056
"@user 1. White people exist. 2. White people have the RIGHT to exist. 3. White people have the RIGHT to exist AS White people in White Communities and Nations.https://t.co/fkBxx2cX29Remigration 2018:  Easy come, easy GO!!",No,this tweet does not contain racial hate speech against Black people as it focuses on the rights of White people without directly attacking or demeaning any racial group,No,the author's motivation does not appear to be hateful or racist as the tweet advocates for the existence and rights of a specific group without inciting violence or hatred against others,Hate,Positive,0.7494
@user 1000/1 she apologises for her #FakeNews post.1000/1 she houses any refugees in any of her multiple mansions.,No,the tweet does not contain any explicit racial hate speech against Black people,No,the author's motivation appears to be critical of the person's actions rather than hateful or racist,Non-hate,Positive,0.2023
@user @user  Can you please step in and deport Karrar Al Khammasi... Please send him back to Iraq...He is a repeat #Criminal.. #BackTheBlue 🙏🏼 #ColoradoDoYourJob #LiberalismIsAMentalDisorder,No,the tweet does not contain racial hate speech against Black people as it targets an individual based on their actions and nationality rather than their race,Yes,the author's motivation appears to be hateful as they express a desire for deportation and use derogatory language towards a specific individual,Hate,Positive,0.0516
"@user @user #migrants #muslimmigrants go home. You do not belong among ordinary people. Killing, raping, enslaving and torturing people is not allowed even if you call it a religion. You have no rights over me.",Yes,the tweet expresses hostility towards a specific group suggesting they do not belong and includes violent accusations,Yes,the author's motivation appears to be driven by hatred towards the group referenced in the tweet,Hate,Negative,-0.9468
@user @user @user @user #BuildTheWallNow #BuildThatWall #TrumpTrain2020 @user @user @user @user @user @user @user @user @user @user @user,No,the tweet does not specifically mention or target People of African Descent or any racial group,No,the author's motivation appears to be political rather than hateful or racist based on the content provided,Hate,Neutral,0.0
@user @user @user @user @user @user @user @user @user @user @user #SundayMotivation #MAGA with President Trump is enoughof a Reason Obama & Nike are an added Bonus#FoLLoW @user,No,the tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist based on the content provided,Hate,Neutral,0.0
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user,No,the tweet does not contain any content that expresses hate speech against any racial group,No,the author's motivation cannot be determined as hateful or racist due to the lack of content in the tweet,Hate,Neutral,0.0
"@user @user @user @user @user @user Black Trump Supporter ""Black Community has been destroyed by RACIST ILLEGAL immigration #BuildtheWall #DeportThemAll  #Trump2020 via @user",Yes,the tweet contains a derogatory implication suggesting that the Black community is negatively impacted by immigration which can be interpreted as blaming a racial group for societal issues,Yes,the author's motivation appears to be hateful as they are promoting a divisive narrative that targets both immigrants and the Black community,Hate,Negative,-0.9035
"@user @user @user @user @user @user Well only 10% of Illegal Aliens work on farms the rest work in Service, Construction and Retail #jobs the same jobs Americans and Legal Immigrants do !  We wont miss not 1 Illeg",No,the tweet does not specifically target or express hate towards People of African Descent,No,the author's motivation appears to be focused on immigration and job competition rather than racial hatred,Non-hate,Negative,-0.2139
@user @user @user @user @user Fuck off JAG you ignorant slut with your sad pink paper.,No,the tweet does not mention or target People of African Descent directly or indirectly,No,the author's motivation appears to be directed at a specific individual rather than being racially motivated,Hate,Negative,-0.91
"@user @user @user @user @user This is really interesting! Thank you for sharing your expertise with refugees here in Jordan, many of whom we serve at our organization.",No,this tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet appears to be supportive and informative rather than hateful or racist,Non-hate,Positive,0.8344
@user @user @user @user @user You must be so proud of a sandwich maker. It takes a lot of brains to put mustard on a sand which.,Yes,the tweet uses a derogatory term that implies a stereotype about intelligence and occupation related to People of African Descent,No,the author's motivation seems to be mocking rather than expressing overt hatred or racism,Hate,Positive,0.6113
"@user @user @user @user BUILD THE WALL - yesterday was too late for too many Americans. How many yesterdays are going to pass while invaders walk into our country costing us welfare, our schools & colleges, our housing, jobs, ou",No,this tweet does not specifically target People of African Descent or contain racial hate speech against them,No,the author's motivation appears to be focused on immigration and economic concerns rather than racial hatred,Hate,Neutral,0.0
@user @user @user @user Cunt your 16 dont act like you arnt lol go to bed before i knock your block off,No,the tweet does not contain any racial hate speech against People of African Descent Black people it is directed at an individual without racial context,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express frustration towards a specific person rather than a racial group,Non-hate,Negative,-0.6608
@user @user @user @user Mass immigration for one,No,the tweet does not explicitly mention or target People of African Descent,No,the author's motivation is unclear and does not indicate hate or racism,Non-hate,Neutral,0.0
@user @user @user @user You're a SKANK .....Leave our house and country. Take your corrupt parents with you. You're all cheap white trash!!!,No,", the tweet does not specifically target People of African Descent or use language that is explicitly racial in nature",No,", the author's motivation appears to be personal animosity rather than a broader racist ideology",Hate,Negative,-0.2677
"@user @user @user Agree, @user plus all those “lightweights” leaders of CEE region that benefit when #Salvini, Kurz, Orban, #Visegrad challenge EU migration agenda must support himðŸ‘‰but often seem afraid to directly",No,the tweet does not contain any direct racial hate speech against Black people,No,the author's motivation does not appear to be hateful or racist as the focus is on political leaders and migration policy,Non-hate,Positive,0.8176
"@user @user @user Are you aware of the NGO and people smuggling initiative in Europe that are illegally importing massive numbers of economic migrants into Europe? In Italy, Sicily has basically turned into a warzone between the Ita",No,the tweet does not explicitly mention or target People of African Descent or Black people in a hateful manner,No,the author's motivation appears to be focused on a political issue rather than expressing hate or racism,Hate,Negative,-0.4767
@user @user @user Golf? You want to compare time spent on golf? THAT. IS HYSTERICAL.,No,this tweet does not contain any racial hate speech against People of African Descent Black people it appears to be a response to a discussion about golf rather than a comment on race,No,the author's motivation for writing the tweet does not seem to be hateful or racist it seems to be expressing disbelief or humor about a comparison related to golf,Non-hate,Negative,-0.2247
@user @user @user Good job!! Now start building/funding the wall!!#BuildThatWall #MAGA2018,No,the tweet does not contain racial hate speech against People of African Descent Black people it focuses on immigration policy and does not mention race or ethnicity,Yes,the author's motivation for writing the tweet is not hateful or racist it expresses support for a political initiative rather than targeting a specific racial group,Hate,Positive,0.6209
@user @user @user Her husband hardly raped a woman his affair was consensual not fucking rape you stupid stupid girl @user,No,the tweet does not contain racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in any form,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a personal dispute rather than targeting a racial group,Hate,Negative,-0.8134
"@user @user @user I can't help suspecting it's deliberate. If we women are hysterical, conf…",No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses women and does not reference race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express a concern about gender issues rather than racial ones,Non-hate,Negative,-0.212
@user @user @user Imagine THE SIZEof THAT RED WAVE !!GOD BLESS TRUMP!Build That Wall#BuildThatWall Plz share..,No,"the tweet does not contain any racial hate speech against People of African Descent Black people it focuses on political themes and does not mention race or ethnicity,",No,the author's motivation for writing the tweet is not hateful or racist it expresses support for a political figure and a policy without targeting any racial group,Hate,Positive,0.8671
@user @user @user Is a millionaire #snowflake that never had to live around the immigrants he championed! He like all the #snowflake politicians is a hypocrite,No,the tweet does not contain racial hate speech against People of African Descent Black people it focuses on the term snowflake and critiques politicians,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to criticize political hypocrisy rather than target a specific race,Non-hate,Positive,0.6114
@user @user @user Loved your article. Thanks for amplifying the voices of some of the many refugees in Jordan!,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist,Non-hate,Positive,0.7959
@user @user @user My nan was a cunt and nobody liked her. One woman cried at her funeral an…,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a personal family matter,Hate,Negative,-0.6705
@user @user @user NO DACA #NODACA #NoDACA U admit DACA illegal WHY would GOP uphold illegal law? NO DACA That means NO laws should be followed BAD precedent to follow sorry for illegal children but they R illegal!,No,the tweet does not contain racial hate speech against People of African Descent Black people as it discusses immigration policy rather than race,No,the author's motivation for writing the tweet is not hateful or racist as it focuses on a political stance regarding DACA and legality rather than targeting a specific racial group,Hate,Negative,-0.9542
