Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label
@user @user @user My friend @user did his face on the girl pics. Hysterical!,No,the tweet does not contain any racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to be a lighthearted comment about a friend's action,Non-hate
@user Fuck you pussy,No,the tweet does not specifically target any racial group or contain racial hate speech against Black people,No,the author's motivation appears to be general hostility rather than specifically hateful or racist,Non-hate
Illegal alien accused of attacking wife with chainsaw was deported 11 timeshttps://t.co/vrc7hr9c8t#BuildTheWall #PreventableCrimes #SecureTheBorder #StopTheInvasion #TherIsMoreOfThemOutThere #AnimalBehavior #DeportationsEqualPublicSafety #IllegalAlienInvasion,No,this tweet does not contain racial hate speech against People of African Descent Black people are not mentioned or targeted in the content of the tweet,No,the author's motivation appears to be focused on immigration issues rather than expressing hate or racism towards a specific racial group,Hate
MSM agreement includes covering for HRC,No,the tweet does not contain any explicit references to race or individuals of African descent,No,the author's motivation for writing the tweet cannot be determined as hateful or racist based on the content provided,Non-hate
"It may well be 'not all men' but it's effected every woman and girl in some way, shape or form. And it IS the responsibility of ALL men...",No,this tweet does not contain racial hate speech against People of African Descent as it discusses gender issues rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it advocates for responsibility among men regarding women's experiences,Non-hate
AUSTRIA'S new right wing government is also making good on its promise to stop Muslim migration while deporting thousands who are already there illegally via @user Austria awakens !,No,the tweet does not contain racial hate speech against People of African Descent Black people because it focuses on Muslim migration rather than race,Yes,the author's motivation for writing the tweet is not explicitly hateful or racist because it expresses a political stance on immigration policy without targeting a specific racial group,Hate
Stephen Miller the  Public Charge Law has been on the books for 100 years it prevents Immigrants from burdening the U.S Taxpayer  if they cant take care of themselvers or their kids #SendThemBack   #Trump #MAGA #RedNationRising,No,the tweet does not contain racial hate speech against Black people as it focuses on immigration policy rather than race,No,the author's motivation appears to be focused on immigration issues and not specifically hateful or racist towards any racial group,Non-hate
@user @user Liberals always calling people racists because they dont believe in Open borders and illegal  #Immigration that hurts American workers ! Liberals are Anti American and Anti Americans !  Dancing on the grave of Dead Americans kille,No,the tweet does not contain explicit racial hate speech against Black people it focuses on political beliefs regarding immigration and does not target a specific racial group,Yes,the author's motivation appears to be hateful as they express strong negative sentiments towards a political group and its stance on immigration,Hate
"I keep reading articles of detained refugee, immigrant children being raped and sexually abused by workers and it’s heart breaking. It makes me sick to my stomach. Look at who the real criminals are, the ones they are handing them off to...",No,the tweet does not specifically target People of African Descent or express racial hate speech,No,the author's motivation appears to be a concern for the welfare of children rather than expressing hate or racism,Non-hate
I pampered the bitch and she went and abandoned the kid for some amateur dick 🤦🏽‍♂️,No,this tweet does not contain racial hate speech against People of African Descent because it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses frustration towards an individual without targeting a specific racial group,Hate
"DACA fix will spur new wave of illegal immigration: ICE chief   Daca is caca,end this democrat fantasy...",No,the tweet does not specifically target or express hate towards People of African Descent,No,the author's motivation appears to be political criticism rather than racial hate,Hate
Asian girls have sideways vaginas #Fact,No,", the tweet does not contain racial hate speech against People of African Descent Black people as it targets a different racial group",Yes,", the author's motivation for writing the tweet appears to be derogatory and disrespectful towards Asian women indicating a potential for hatefulness",Hate
I wish fat boy Trump would just shut the fuck up and go away and take your stupid wife and pussy ass kids with you Amerikkka is so fucken tired of your STUPID shit #GettheFuckON,No,the tweet does not contain racial hate speech against People of African Descent as it does not mention race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses frustration towards a political figure rather than targeting a racial group,Non-hate
"@user @user Tina, you willfully ignorant somnabulist kunt, have a beer",No,the tweet does not contain any racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to be directed at an individual's intelligence rather than their race,Hate
@user Oh fuck off Julian - you just hate women you sooky bitch,No,the tweet does not contain racial hate speech against People of African Descent Black people as it does not refer to race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it targets a specific individual over a different issue rather than promoting racial hatred,Non-hate
"For more on the @user findings discussed in this @user article, including state-by-state data, check out:",No,the tweet does not contain any racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet is not hateful or racist as the content is neutral and simply directs to further information,Non-hate
"Registration Open! Our upcoming #conference #Immigrants and Community Colleges: Opportunities and Promise will be held Friday, April 13th at #GMU Fairfax campus. Visit   for more info  @user @user @user @user @user",No,the tweet does not contain any racial hate speech against People of African Descent as it discusses a conference without any derogatory language or implications,No,the author's motivation for writing the tweet is not hateful or racist as it promotes an event focused on community and opportunities without any negative connotations,Non-hate
NY Protesters Oppose US Immigration Policy,No,the tweet does not contain any racial hate speech against People of African Descent as it discusses immigration policy without referencing race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a political issue rather than targeting a specific racial group,Non-hate
Colorado: Iraqi immigrant who shot cop in the head evaded deportation despite a string of crimes | Creeping Sharia  Shared via Bing Search,No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses an incident involving an Iraqi immigrant and does not mention race or target any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to focus on an incident and immigration rather than promoting hate against a specific racial group,Non-hate
I arrived in #england in late 60’s. At the time #indian accent was a butt of many jokes and palyed out in TV comedies. So pleased to hear at #Westham tube announcement  from a fellow immigrant from #nigeria witout anyone batting an eyelid. We have come far.,No,This tweet does not contain racial hate speech against People of African Descent as it does not express hatred or discrimination against Black people,No,The author's motivation appears to be positive and reflective rather than hateful or racist as they celebrate progress and inclusion,Non-hate
"Wrong! The heart of the problem is: 1. nationalism, which is the right of every state or population 2. refugees are only a minority of all 3. economic migrants not welcome and have no rights (also according to international law) 4. all refugees or migrants are heading south EU",No,the tweet does not contain racial hate speech against People of African Descent as it does not reference race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it discusses migration and nationalism without targeting a specific racial group,Non-hate
also keep my name out of ur hoe ass mouth I literally refer to u only as cunt and bitch,No,this tweet does not contain racial hate speech against People of African Descent as it does not reference race or ethnicity in any form,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to be a personal insult rather than a racial attack,Hate
Are you or a loved one an immigrant who has not yet investigated citizenship? Visit our informational session...,No,this tweet does not contain any racial hate speech against People of African Descent as it discusses immigration and citizenship without targeting any racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it promotes an informational session for immigrants,Non-hate
also this girl tried to twerk me away from barricade FUCK YOU suck my dick!,No,the tweet does not contain racial hate speech against People of African Descent Black people,No,the author's motivation does not appear to be hateful or racist as the tweet expresses frustration towards an individual without racial context,Hate
if I say men r trash I'm not a little girl like these yats who say it's not all men talking about their mcms not li…,No,the tweet does not contain racial hate speech against People of African Descent Black people as it refers to men in general and does not target any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses a personal opinion about a social issue rather than targeting a specific race or ethnicity,Non-hate
"There's an application, an interview... It's a whole process 🙃😘",No,this tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist,Non-hate
Parenting is hard enough. Now try Visible Minority Immigrant Parenting.  Immigrant parenting stories from St. John's @user @user @user,No,this tweet does not contain any racial hate speech against People of African Descent Black people it discusses parenting experiences of immigrant families without targeting any specific racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to focus on sharing experiences related to parenting in a multicultural context,Non-hate
"A Father's Belief. ""A Sicilian immigrant who grew up in America"", became citizen, got married and raised Three Sons!!! Life is good in America.",No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses an immigrant experience without targeting any racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to celebrate the immigrant experience in America,Non-hate
“get premium you cheap skank”,No,this tweet does not contain any racial hate speech against People of African Descent as it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to be directed at an individual's behavior rather than their race,Non-hate
A new trend has started Everybody is collecting money for Syrian refugees without any control of govt agencies...,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it discusses a trend without targeting any specific racial group,Non-hate
Your mood changes more than the price of gas #WomenSuck,No,the tweet does not contain any references to race or People of African Descent,No,the author's motivation does not appear to be hateful or racist as the tweet targets a gender rather than a race,Hate
"Why is this individual who evidently hates America on US soil, @user @user @user @user  #ExtremVetting #EndVisaLottery #NoMoreRefugees #NoAmnesty #NoDACA #EndCatchAndRelease #BuildTheWall  #NoMoreNonRepresentatives  #NOMoreDemocrats  #WalkAway",No,the tweet does not specifically target or express hate towards Black people or People of African Descent,No,the author's motivation appears to be focused on immigration and political issues rather than racial hatred,Hate
"So many illegal Muslim migrants &amp; Muslims from UP have migrated to Delhi, encroaching all kind of public places&amp; creating filth.Keji have surpassed even CONG in Muslim Appeasement. No action being taken on such migrants who form his dirty Vote bank.Check entire stretch on Lodi Rd",No,", the tweet does not specifically target People of African Descent and instead focuses on Muslims and migrants,",No,", the author's motivation appears to be political critique rather than explicit hate or racism against a specific racial group",Hate
#WomenDisobey  1995 Barbara Jordan Press Conference on Legal Immigration via @user,No,the tweet does not contain racial hate speech against People of African Descent Black people because it references a press conference on legal immigration without any derogatory language or context related to race,No,the author's motivation for writing the tweet is not hateful or racist because it appears to be sharing a historical event without any indication of animosity or prejudice,Non-hate
When you're Twitter beefin with Brits but don't know who's talkin shit cause you can't understand their slang 🤔,No,this tweet does not contain racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it discusses a misunderstanding of slang without any negative connotations towards a specific group,Non-hate
#Psychology #AgentOfChange &amp; @user faculty Dr. Nayeli Chavez was recently tapped by @user for insights surrounding the #MentalHealth implications of recent sexual abuse that has taken place at immigrant youth shelters. #TheCommunitySolution,No,The tweet does not contain any language that targets or denigrates People of African Descent,No,The author's motivation appears to be informative and supportive of mental health issues and does not indicate hate or racism,Non-hate
"Interested in supporting #ImmigrantChildren &amp; families in #NYC? @user is offering a free Immigrant Accompaniment Training on Wed., August 7 from 6:30–8:30 PM. Learn how to provide direct &amp; meaningful support for immigrants in our communities! RSVP",No,this tweet does not contain racial hate speech against People of African Descent Black people it focuses on supporting immigrant children and families without any derogatory language or racial targeting,No,the author's motivation for writing the tweet is not hateful or racist the intent is to promote support and assistance for immigrant communities,Non-hate
#AdultEduMatters because it plays a key role in helping immigrants gain language skills and become economically successful.     From out friends at  Chicago City Literacy Coalition’s (CCLC).,No,the tweet does not contain any racial hate speech against People of African Descent Black people it focuses on adult education and immigrants without targeting any specific racial group,No,the author's motivation for writing the tweet is not hateful or racist it promotes literacy and economic success for immigrants in a positive manner,Non-hate
"Tucker Carson ""We need to start looking at the relationship between immigration and crime"" Yes we do thanks bro ðŸ™ŒðŸ»ðŸ’¯",No,this tweet does not explicitly contain racial hate speech against People of African Descent Black people,No,the author's motivation appears to be supportive of discussing immigration and crime without indicating hate or racism,Hate
"@user Why can't u work in harmonious way?""Why u always follow,either my way or no way""Delhi is fast becoming a slum under AAP. Every pavement,public parks,Flyover spaces,Road sides have been encroached by illegal Muslim migrants. Urge u to go",No,the tweet does not contain racial hate speech against People of African Descent Black people as it does not mention race or ethnicity,Yes,the author's motivation for writing the tweet appears to be hateful or discriminatory against a specific religious group as it targets illegal Muslim migrants,Non-hate
President Trump Hosts Law Enforcement Roundtable on MS-13 Gangs and Immigration Issues‘¦,No,this tweet does not contain racial hate speech against People of African Descent as it discusses law enforcement and immigration issues without targeting any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a political event rather than expressing animosity towards a specific group,Non-hate
"I wanna give a bitch my heart but i can’t though, can’t fall in love with a stank hoe",No,this tweet does not contain racial hate speech against People of African Descent as it does not mention race or ethnicity in any context,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses personal feelings about relationships rather than targeting a specific racial group,Hate
"In addition to the vast problems coming across our open border, 1 RARELY mentioned = drug resistant diseases. TB, superbugs or exotic diseases few Americans have a resistance to. #HouseGOP @user @user @user @user @user #BuildTheWall #BuildThatWall",No,the tweet discusses border issues and diseases without targeting any racial group specifically,No,the author's motivation appears to focus on political issues related to immigration and public health rather than promoting hate or racism,Hate
@user @user BITCH I AIN'T NO HOE,No,this tweet does not contain any racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to be a response to an insult rather than a statement targeting a racial group,Hate
@user Cameron is a coward he attacks the poor yet again because of immigration the numbers don't add up we need to get out now,No,the tweet does not specifically target People of African Descent or contain racial hate speech,No,the author's motivation appears to be focused on immigration and economic issues rather than expressing hate or racism,Hate
Hitler left a stain on Germany for the atrocities he committed against the Jews.  Trump will leave a stain on America for the atrocities he's commiting against these immigrant families.  I only hope there is a reenactment of the Nuremberg Trials at the end of his reign. #Inhumane,No,this tweet does not contain racial hate speech against People of African Descent Black people,No,the author's motivation appears to be a critique of political actions rather than expressing hate or racism,Non-hate
#DeBlasio #NewYorkCity #OnePercent #EnvyLiberal prescription:  Tax the rich those bastards who don't pay their...,No,the tweet does not contain racial hate speech against People of African Descent Black people it discusses wealth and taxation without reference to race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it focuses on economic issues rather than racial ones,Non-hate
Wonder how much US $$$ from unfair trade is used for this BS !!! The German Government Pays for 3 Week Vacation for Refugees to Go Home | Armstrong Economics,No,the tweet does not specifically target or express hate towards People of African Descent or any racial group,No,the author's motivation appears to be focused on economic criticism rather than racial animosity,Hate
When it's April fools but this isn't a joke,No,the tweet does not contain any references to race or racial hate speech,No,the author's motivation appears to be neutral or humorous without any indication of hate or racism,Non-hate
"#AbolishICE Prosecute those responsible for the implementation of inhumane, un-American (and ultimately pointless) policies. #Immigration #PoliceState #Impeach45 @user @user @user @user",No,the tweet does not contain any racial hate speech against People of African Descent Black people it discusses immigration policies and does not target any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist it advocates for political change and critiques policies rather than promoting hate,Non-hate
EU throws up barriers in Niger to stem migrant flow,No,the tweet does not mention or target People of African Descent specifically,No,the author's motivation does not appear to be hateful or racist as it discusses migration policy without derogatory language,Non-hate
Glad they saved them. Glad they saved them on THAT side of the border!! #BuildThatWall #NeverVoteDemocratAgain,No,this tweet does not explicitly contain racial hate speech against People of African Descent Black people,No,the author's motivation appears to be political rather than hateful or racist,Hate
"What a lying piece of Sh.t he is, he has USA on its knees and HRC was going to finish us off, well nation/public off to the world, go suck on eggs jerk @user @user #BuildTheWall #LockThemUp #EndDACA now !!!",No,the tweet does not contain any specific racial hate speech against Black people,No,the author's motivation appears to be political frustration rather than racial hatred,Hate
@user Ensure you use a closed lid with a hole in the centre.. Else you'll send beans flying everywhere!,No,this tweet does not contain any reference to race or people of African descent,No,the author's motivation appears to be providing practical advice without any hateful or racist intent,Non-hate
Watch--Trump: 'Not One' Country Has Been Improved by Mass Immigration,No,the tweet does not specifically target or express hate towards People of African Descent or any racial group,No,the author's motivation appears to be a political statement rather than an expression of hate or racism,Non-hate
You hear a story about a case of a rapist and all your stupid self had to say was that it's a one sided story? A rape case????,No,this tweet does not mention or target People of African Descent or any racial group,No,the author's motivation appears to be a reaction to a specific incident rather than expressing hate or racism,Non-hate
you a stupid hoe you a you a stupid hoe,No,this tweet does not contain any specific reference to race or people of African descent,No,the author's motivation appears to be expressing frustration or insult rather than hate or racism,Hate
"@user Now people want to attack eminem because hes older and they think hes garbage. People have the balls to talk shit now because they think revival is weak and whack but BOYY! Why didnt you pussy fucks respond back then? Scared to get bodied? Doesnt matter, YOU STILL ARE!",No,the tweet does not contain any language that specifically targets People of African Descent or promotes hate against them,No,the author's motivation appears to be defending an artist rather than expressing hate or racism,Hate
"@user With Patriotic&amp;honest CM now in place in Assam,must go all out for sealing borders wid BGD to stop influx of illegal migrants",No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation appears to be focused on immigration policy rather than expressing hate or racism,Hate
When you're a childish bitch,No,the tweet does not specifically reference or target People of African Descent,No,the author's motivation does not indicate any hateful or racist intent,Hate
Leave us a alon damn migrants go home,No,this tweet does not specifically target People of African Descent or contain racial hate speech,Yes,the author's motivation appears to express frustration towards migrants rather than a specific racial group,Hate
I wish I could have all the money I've spent on alcohol back... But still have had all of the alcohol too,No,this tweet does not contain any references to race or specifically target People of African Descent,No,the author's motivation appears to be reflective and does not indicate any hateful or racist intent,Non-hate
Oh look another #IllegalAliens #libtard Radical Muslim terrorist who tries to kill Americans. Thanks to @user for killing that f***er & saving taxpayers for prison costs! #BuildThatWall,Yes,the tweet uses derogatory terms and stereotypes that target a specific group and implies violence against them,Yes,the author's language and sentiments express hostility and a desire for harm towards the identified group,Hate
@user bitch you're so brave and smart and hysterical omg. I love you so much Allah y7fdhch inshallah 😭😭,No,the tweet does not contain any racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses admiration and affection towards another user,Non-hate
👀,No,the tweet does not contain any explicit language or context that targets People of African Descent,No,the author's motivation cannot be determined as hateful or racist based on the content provided,Non-hate
@user Hahahahaha so hysterical she the real living proof cher cherry picker we have only bitch read da real KSU SB Hit! I Alo!,No,the tweet does not contain any explicit racial hate speech against Black people,No,the author's motivation does not appear to be hateful or racist based on the content provided,Hate
@user Yes you did 😂 Liar and a coward. Disgusting combo for a kunt,No,this tweet does not contain racial hate speech against People of African Descent as it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on personal insults rather than racial animus,Non-hate
Katie - You are a toxic bitch and will always be one. You got your way. I am going to be fired again anyways. You toxic bitch.,No,this tweet does not contain racial hate speech against People of African Descent as it does not reference race or ethnicity in any form,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on personal grievances rather than racial issues,Hate
Currently in #Ethiopia the #Eritrean operatives are roaming and hunting #Eritrean refugees. I heard this too. #Ethiopian PM has given full access to foreign country secret service to operate. Nation under threat.,No,the tweet does not contain racial hate speech against People of African Descent as it discusses political issues rather than targeting a racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses concern about national security and the treatment of refugees,Hate
"At Target in the movie section, and this guy is educating his girlfriend about Star Wars. Her facial expressions are hysterical.",No,the tweet does not contain any racial hate speech against People of African Descent Black people as it discusses a situation unrelated to race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it simply describes an observation of a couple's interaction without any negative connotation,Non-hate
I wonder how many Christian women would admit #MeToo. Because rape culture is most definitely alive and well in churches across the world.,No,this tweet does not contain racial hate speech against People of African Descent Black people as it discusses issues related to women and rape culture rather than race,Yes,this tweet does not indicate hateful or racist motivation as it seems to address social issues and promote awareness rather than express hatred,Non-hate
"Anyone with the ASRock AB350M mobo, if you have a photo of the RAM slots, it'd be a huge help. I need to know if mine is missing parts :(",No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist,Non-hate
@user U FUCKING HOE WE GOT UPPER BECAUSE YOU SAID YOU WANTED UPPER,No,the tweet does not contain any explicit racial hate speech against Black people,No,the author's motivation does not appear to be hateful or racist as the context is unclear and does not reference race,Hate
@user @user @user @user @user @user Stay in Norway - your story is nonsense. But refugees which always want to enter USA its a good information. - They would get slaves !,Yes,the tweet suggests that refugees would become slaves which is a racist implication against people of African descent,No,the author's motivation seems to be more about dismissing the refugee narrative rather than expressing outright hate or racism,Hate
Sometimes you just gotta stick a key hole in that bitch and chug,No,this tweet does not contain any direct references to race or People of African Descent,No,the author's motivation is not evident as hateful or racist based on the content provided,Hate
@user I hope that dumb cunt gets her face beat in by a black woman over hearing her using the word nigga.,Yes,the tweet expresses a desire for violence against a person based on their interaction with a racial slur,Yes,the author's motivation appears to be fueled by anger towards the use of a racial slur indicating a hostile sentiment towards the person mentioned,Hate
Too bad you can't get abs from laughing at all the memes you steal... I'd have a six pack by now 😉,No,the tweet does not contain any references to race or people of African descent,No,the author's motivation appears to be humorous rather than hateful or racist,Non-hate
"US Govt is one big crime scene, ie, WH, DHS, HHS, EPA, etc. — while ongoing conspiracy against the State continues unabated. Kidnapping immigrant children, illegal arrest &amp; imprisonment of immigrants, theft of federal funds for Nazi rallies, violating emoluments clause, tax scam.",No,the tweet does not contain any direct racial hate speech against Black people it discusses government actions and policies without targeting any racial group specifically,No,the author's motivation does not appear to be hateful or racist as the focus is on government accountability and immigrant issues rather than racial animosity,Non-hate
"@user @user So, when are women going to demand their right to have the honor to sign up for selective services which ALL male citizens are OBLIGATED by law? Not really equal yet, are you? Do illegals sign up? Yeah, I see equal happening all over",No,the tweet does not contain racial hate speech against People of African Descent Black people it discusses gender equality and selective service without targeting any race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express frustration about gender issues and legal obligations rather than promoting hate,Hate
@user That the only job a woman can have .. they the best at this job love ❤️ Dick Sucking,No,", the tweet does not specifically target People of African Descent or contain racial elements",Yes,", the author's motivation appears to be derogatory and objectifying towards women rather than racially motivated",Hate
@user I tweeted the same views recently. The hysterical replies I received from feminist women & men was beyon…,No,the tweet does not contain racial hate speech against People of African Descent Black people the focus is on feminist views and responses rather than race,No,the author's motivation does not appear to be hateful or racist the tweet discusses reactions to views on feminism without targeting any racial group,Non-hate
"@user @user @user When a group of smiling third world faces move into your street, they know the nice dumb White people will transfer $$ to pay for the new school + costs of teaching lower-IQ children.The descendants of the White p",Yes,the tweet contains derogatory language that targets individuals based on race and implies negative stereotypes about intelligence associated with People of African Descent,No,the author's motivation appears to be to provoke a reaction rather than express a personal hatred or racism directly,Hate
"@user Clay, if this is sarcasm, its really bad, shut the fuck up. If the hats were described as womens yo bitch ass wouldnt want one.",No,the tweet does not contain racial hate speech against People of African Descent Black people it focuses on gender and personal criticism rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express frustration over a comment without racial context,Non-hate
Remind me what I pay NI for. And what the fuck have you done with our money cunt?,No,the tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation appears to be frustration with financial issues rather than hateful or racist sentiments,Non-hate
This human-elephant conflict has seen 13 refugees killed in elephant attacks since Aug. last year #ucanews #thereforthevoiceless #refugee #Bangladesh @user @user  @user @user @user @user @user @user @user,No,this tweet discusses a human-elephant conflict and does not mention race or target any racial group,Yes,the author's motivation appears to be focused on raising awareness about the conflict and its impact on refugees rather than promoting hate or racism,Non-hate
@user @user @user @user Or stop being a whore on twitch you rat,No,this tweet does not specifically target People of African Descent and does not contain racial hate speech against them,No,the motivation appears to be derogatory towards a specific individual rather than racially motivated,Hate
Bewildered by EU leaders' various plans for preventing more migrant and refugee boat arrivals &amp; where to send them? Here's a helpful overview,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet appears to be informative and does not express hatred or racism,Non-hate
"FYI @user AND @user The ONLY REASON you 2 have a job is #WeThePeople VOTED for @user to #BuildThatWall!! IF you 2 are so incompetent you cannot complete a mandate for the President of YOUR OWN PARTY, YOU 2 need to #WalkAway!",No,the tweet does not contain racial hate speech against People of African Descent Black people it focuses on political incompetence and does not reference race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to criticize political figures for their performance rather than targeting a racial group,Hate
"In a conservative Northern California county, a team of Mexican immigrants helps battle the Carr fire",No,the tweet does not contain racial hate speech against Black people as it discusses Mexican immigrants and a fire incident without referencing race or making derogatory statements about any group,Yes,the author's motivation appears to be neutral as they are reporting on a community effort without any indication of hate or racism,Non-hate
Our country is doomed if #Illegals vote! #BuildThatWall #VoterID #VoteRepublican2018,No,this tweet does not contain racial hate speech against People of African Descent as it focuses on immigration and voter issues rather than race,No,the author's motivation appears to be political rather than hateful or racist as it advocates for specific policies and does not target a racial group directly,Hate
@user Why do those who have neen accepted as refugees want the uk to take in more ? handing out things wont change peoples mind,No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses refugees in general without targeting any specific racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express a concern about refugee policies rather than targeting any race,Hate
"#Czechia Zeman labeled this disturbing attitude practiced by West EU leaders as “cowardice masquerading as tolerance”.But also migration pimps @user other NGOs begin intimidation campaigns directed at border guards in Slovenia, Croatia.Europe must support the guards",No,the tweet does not contain any racial hate speech against Black people as it discusses migration and border guards without reference to race or ethnicity,No,the author's motivation does not appear to be hateful or racist as the focus is on political issues rather than targeting a specific racial group,Hate
