Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label
When you're in love with her and find out she doesn't do anal so you're gonna have to cut her loose,No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses a personal relationship issue rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it reflects a personal preference in a romantic context,Hate
Hey promoters and defenders of Sanctuary cities... is this okay with you ? What If this had been YOUR child? You socialists white/guilts  are so concerned about being pc and that you’ve allowed these horrific atrocities.,No,the tweet does not explicitly target People of African Descent and does not contain racial slurs or stereotypes,No,the author's motivation appears to be a critique of political views rather than an expression of hate or racism,Non-hate
@user Going to be where no one will leave the house or even look at a woman because she will claim “rape”.…,No,this tweet does not specifically target People of African Descent or any racial group,No,the author's motivation appears to be a commentary on societal issues rather than a direct expression of hate or racism,Hate
From refugee to Olympic athlete!,No,this tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it celebrates achievement,Non-hate
"How sad, calling a life long Republican with brain cancer a loser. I wonder how these people sleep at night knowing that immigrant children have been abused and reportedly died..now you know. No morals or values whatsoever &amp; they are not #ProLife",No,", the tweet does not contain racial hate speech against People of African Descent Black people because it does not mention race or use derogatory terms related to race",No,", the author's motivation for writing the tweet is not hateful or racist because it appears to criticize political opponents and express concern for immigrant children rather than targeting a specific racial group",Hate
@user you should be ashamed that these companies pay no tax yet @user will bankrupt normal people of a few 100 pounds. time for change,No,this tweet does not contain any racial hate speech against People of African Descent Black people it discusses taxation and financial issues without reference to race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express frustration with economic policies rather than targeting any racial group,Non-hate
#UnitedNations: #Trump Immigration Enforcement a 'Serious Violation' of Human Rights | #Breitbart...,No,the tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it discusses immigration enforcement and human rights without targeting any racial group,Non-hate
Little brother just told me to fuck off and I'm a bitch.. well it's ya bday next week Hun I'm just gonna send ur present back lil cunt x👋🏻,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to be a personal conflict with a family member,Non-hate
Girls: Halloween's my favorite holiday of the year. I'm sure. It's the one time you get to dress like the skank you are without judgement.,No,this tweet does not contain racial hate speech against People of African Descent Black people as it does not mention race or ethnicity in any form,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a general commentary about Halloween attire without targeting any specific race or group,Non-hate
"She advocates breaking immigration law obviously, so therefore should be treated as a criminal.",No,", the tweet does not specifically target or express hatred towards People of African Descent",No,", the motivation appears to critique a legal stance rather than express hate or racism",Non-hate
Illegal Criminals EVERYWHERE #BuildThatWall !!,No,this tweet does not specifically target People of African Descent and uses general language about illegal immigrants,Yes,the author's motivation appears to promote a negative view of immigrants which can be seen as hateful,Hate
Stunned tourists look on as dozens migrants land on packed Spanish beach and sprint off,No,the tweet describes an event without any derogatory language or implications towards any racial group,No,the author's motivation appears to be to report on an event rather than express hate or racism,Non-hate
Ever try to make a girl play video games? they are terrible. these are the skills they will need for the future. we're fucked.@,No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses gender stereotypes related to girls and gaming rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it reflects frustration about gender and skills rather than racial animus,Hate
"@user .The enemy is attacking at our Southern border using a ""Death by a thousand cuts"" invasion maneuver.#BuildThatWall #MAGA",No,the tweet does not contain any explicit racial hate speech against Black people,No,the author's motivation appears to be focused on immigration policy rather than expressing hate or racism towards a specific racial group,Hate
Churches in Scotland! Have you seen @user theological reflection on migration? It's great! And don't forget that we're also happy to come to speak to your congregation or community group about our work at RST - we are so grateful to the many faith groups who support us.,No,this tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation appears to be supportive and inclusive without any indication of hate or racism,Non-hate
GOP Reps Dismayed by Rejected Immigration Bill,No,The tweet does not contain any racial hate speech against People of African Descent as it discusses a political issue without reference to race or ethnicity,No,The author's motivation for writing the tweet does not appear to be hateful or racist as it addresses a legislative matter without derogatory language or intent,Non-hate
Giving You A Sneak Peak Of Her Hot Little Cunt Hole,No,this tweet does not contain any racial hate speech against People of African Descent Black people,No,there is no indication that the author's motivation for writing the tweet is hateful or racist,Non-hate
"First we rip children from their families, then we fail to protect them from heinous abuse. We are complicit in the lifelong trauma of hundreds of children and families, and it is a source of deep and lasting shame on our country. #FamiliesBelongTogether",No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses the treatment of children and families without targeting any specific racial group,No,the author's motivation for writing the tweet is not hateful or racist it expresses concern for the welfare of children and families,Non-hate
"@user While building a wall, give illegal immigrants a year to come forward giving them a process to become legal#thencrackdown",No,the tweet does not specifically target People of African Descent or contain language that is racially charged or derogatory towards them,No,the author's motivation appears to be focused on immigration policy rather than expressing hate or racism,Hate
@user @user Nyour obsessed cuz there is nothing wrong with you stupid skank. You’ve been warned for last time you shall suffer,No,the tweet does not contain any language or references that specifically target People of African Descent,Yes,the author's motivation appears to be more about personal conflict rather than expressing hate or racism,Non-hate
Is there a connection to immigration? Exam question is: are we bringing in impoverished people to be impoverished here? The pictures I've seen clearly shows the majority are immigrants.,No,this tweet does not contain explicit racial hate speech against People of African Descent Black people it discusses immigration and socioeconomic status without targeting a specific racial group,No,the author's motivation appears to be questioning immigration policies rather than expressing hate or racism,Hate
"@user happens to women everywhere, not only rape but sexual abuse and pple still ask what she did to provo…",No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses issues of sexual violence and victim-blaming which are not racially targeted,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to raise awareness about a serious issue affecting women,Non-hate
"Perhaps it's true that #notallmen are sexual predators, but all women are potential prey.",No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses gender dynamics rather than race,No,the author's motivation for writing the tweet is not hateful or racist it reflects a commentary on societal issues without targeting a specific racial group,Hate
"We VOTED 4 #BuildThatWall, #LimitedImmigration so it would NOT hurt the American worker, we voted so terrorists could not walk across our Southern border. WHY are @user AGAINST STRONGER IMMIGRATION RULES? VOTE 4 #MAGA & #KAG2018 #KAG2020 Thank U Jim, WE STAND WITH U!",No,this tweet does not contain racial hate speech against People of African Descent Black people it focuses on immigration policy and does not mention race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist it expresses a political stance on immigration without targeting a specific racial group,Hate
"detained in #Croatia.Twice in 3months same location.Migrants aided by internal networksEurope needs “detention-deportation camps”, not sharing schemes. States must use “Orban Model” to crack-down on NGOs guiding illegal migrants.#Visegrad #V4",No,the tweet does not contain racial hate speech against People of African Descent Black people as it discusses migrants in a general context without targeting a specific racial group,No,the author's motivation for writing the tweet is not hateful or racist as it seems to focus on immigration policy rather than promoting hate against a particular race,Non-hate
85% of Syrian refugee kids live in poverty in Jordan: UN,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it reports a statistic about Syrian refugees without any derogatory language,Non-hate
"“Why don’t you want kids? Every women should want kids!” First of all, bitch, not w this president and our economy",No,this tweet does not contain racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses frustration about political and economic issues rather than targeting a racial group,Hate
Italy calls for end to U.N. embargo on Libya to help it tackle migrants,No,the tweet does not contain any racial hate speech against People of African Descent Black people as it discusses a political issue regarding Libya and migrants without any derogatory language or racial implications,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a diplomatic and humanitarian issue rather than expressing any form of hate or discrimination,Non-hate
Hey #Democrats Obama agreed wth @user on ILLEGAL #Immigration Now #Democrats Stop Whining and Lying and Pass a BILL Your jobs depend on it #ElectionDay #RedNationRising #Trump #MAGA #GOP @user,No,the tweet does not contain any racial hate speech against Black people as it focuses on immigration and political issues rather than race,No,the author's motivation appears to be political critique rather than hate or racism as they are addressing party actions and policies,Hate
Peru's shoestring circuses struggle to survive,No,The tweet does not mention race or any specific group of people and is discussing a topic unrelated to hate speech,No,The author's motivation appears to be informative or observational rather than hateful or racist,Non-hate
"The illegal immigration problem was started by, continued and made worse by government.  100 years ago we had free and open borders to the south and supply and demand for labor determined how many came.",No,the tweet does not contain any direct racial hate speech against Black people,No,the author's motivation appears to focus on immigration policy rather than promoting hate or racism,Hate
NOT ALL MEN WHEN I COULD LOVE A GIRL -.,No,this tweet does not contain any references to race or specifically target People of African Descent,No,the author's motivation does not seem hateful or racist as it appears to discuss gender rather than race,Non-hate
"@user I had lot of respect for u when u came to power.But in pursuit of power,Delhi have fast become a Slum,coz u r encouraging illegal migrants,encroachments.Ur naked Appeasement of Muslims is highly condemnable.URGE U TO VISIT NIZZM TILL INDIA",No,the tweet does not specifically target People of African Descent and focuses on issues related to illegal migrants and Muslims,No,the author's motivation appears to be political criticism rather than expressing hate or racism,Hate
@user Some one tell the Judge that Aiding Illegal Aliens is against Federal Immigration laws so the judge legally can not order people to aid illegal aliens!https://t.co/Vlp58aNfKD,No,the tweet does not contain racial hate speech against People of African Descent as it does not reference race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a legal issue rather than targeting a specific racial group,Hate
Fuck yeah you pussy boy,No,this tweet does not contain any racial hate speech against People of African Descent as it does not reference race or ethnicity in any way,No,the author's motivation for writing this tweet does not appear to be hateful or racist as it seems to be directed at an individual without racial context,Non-hate
That the price for bombing a country and kill Ghaddaffi through French and British forces. Now Liyba dont like to keep refugees for the EU.,No,the tweet does not contain racial hate speech against People of African Descent Black people it discusses geopolitical issues and actions without targeting any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to focus on political events rather than expressing animosity towards a specific racial group,Hate
@user @user Can we deport her now she has menntal issues she Thinks Michelle is still @user When a LEGAL Immigrant is so now she is against LEGAL IMMIGRATNTS ?  #WalkAwayFromDemocrats  Obama did nothing for African Americans But give,No,the tweet does not explicitly contain racial hate speech against People of African Descent as it criticizes an individual rather than making a generalization about a racial group,No,the author's motivation appears to be political rather than hateful or racist as they are discussing immigration and political opinions rather than expressing animosity towards a racial group,Hate
"Did you know? Last year, our educators served over 160 refugees and immigrants through free ESL and EAL classes. Your continued support helps us engage and educate our community. Become a fundraiser or donate today #30kin30days",No,this tweet does not contain any racial hate speech against People of African Descent as it focuses on education and support for refugees and immigrants without any derogatory language or racial targeting,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it promotes community engagement and support for education without any negative connotations towards any racial group,Non-hate
She couldn't drive by 'hysterical' woman needing help; widow of shooting victim forever grateful via @user,No,the tweet does not contain any racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses gratitude and does not show animosity towards any group,Non-hate
"First one officer was in Calais injured. Police open fire to 9 refugees, which want to go to Greatbritan by car.",No,the tweet does not contain racial hate speech against People of African Descent it discusses an incident involving police and refugees without targeting any specific racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to report on a police action involving refugees without expressing animosity,Non-hate
@user @user @user Suck my dick you stupid bitch.,No,the tweet does not contain any references to race or ethnicity,No,the author's motivation appears to be aggressive or insulting but not specifically hateful or racist,Hate
@user kys you stupid nigger I hope you die of cancer you little cunt,Yes,the tweet contains explicit racial hate speech against Black people due to the use of a racial slur and derogatory language,Yes,the author's motivation for writing the tweet is hateful and racist as it expresses a desire for harm and uses racial slurs,Non-hate
"@user Did you make this? It's hysterical XD Really, really accurate about that group. The only thing mis…",No,the tweet does not explicitly contain racial hate speech against People of African Descent Black people,No,the author's motivation appears to be humorous and not explicitly hateful or racist,Non-hate
"Today is the start of #RefugeeAwarenessMonth leading up to #WorldRefugeeDay June 20, and we have a LOT of special events planned to raise awareness, action and welcome on behalf of refugees. Check out these events, and...",No,The tweet does not contain any language or sentiments that target or express hate towards People of African Descent or any racial group,No,The author's motivation appears to be focused on raising awareness for refugees and promoting events which does not indicate hate or racism,Non-hate
@user -Since they have for years sent their best &amp; brightest to the US illegally NOW is the time to #sendThemBack to help in their homelands. We have a MORAL OBLIGATION to do so before situations worsen! #MAGA @user @user @user #BuildTheWall,Yes,the tweet implies that people of African descent are not contributing positively to society and suggests they should be sent back which is discriminatory in nature,Yes,the motivation appears to be rooted in a desire to exclude and diminish a specific group based on their race and origin,Hate
"#Migrant and refugee arrival rates in Spain have increased 50% this year. More than 1.600 people arrived just in June, counting the 629 that arrived yesterday with the #Aquarius.",No,the tweet does not contain any language that targets or discriminates against People of African Descent,No,the author's motivation appears to be informative regarding migration statistics without any indication of hate or racism,Non-hate
True @user @user just only vote banks #votebank,No,this tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation appears to be critiquing a political strategy rather than expressing hate or racism,Non-hate
South Koreans Stand Against Islamic Immigration!!! via @user,No,the tweet does not contain racial hate speech against People of African Descent Black people as it does not mention race or target Black individuals specifically,No,the author's motivation for writing the tweet is not hateful or racist as it expresses opposition to a specific immigration policy rather than promoting hatred against a racial group,Hate
DEPORT RAPEFUGEE'S!!! 🤬🤬🤬🤬🤬🤬🤬🤬,Yes,this tweet contains a derogatory term that implies a negative stereotype against a specific group of people,Yes,the author's motivation appears to be hateful as they are expressing a strong negative sentiment towards a group,Hate
@user Europe being bullied again by Islamic countries Â£2billion for what ? short time fixes 75 million immigrants no thanks .,No,"the tweet does not specifically target People of African Descent and focuses on immigration issues rather than race,",No,the author's motivation appears to be a critique of immigration policies rather than expressing hate or racism,Hate
@user @user 'Women are sacred' plays into the Madonna/whore dichotomy. It only protects women seen as sa…,No,the tweet does not contain racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist,Non-hate
〝 Bitch fuck shit cunt who─ 〞 Okayyy..,No,the tweet does not contain any explicit reference to race or people of African descent,No,the author's motivation cannot be determined as hateful or racist based on the content provided,Hate
THIS IS FUCKING CHICHARRÓN YOU BITCH,No,the tweet does not contain any direct reference to race or ethnicity and does not target People of African Descent,No,the author's motivation seems to be expressing frustration or anger rather than hate or racism,Non-hate
"@user yes, chaque chose a son temp. not all men for today are trash except the stupid ones",No,this tweet does not contain any racial hate speech against People of African Descent Black people it discusses men in general without reference to race,No,the author's motivation does not appear to be hateful or racist it seems to address a broader societal issue without targeting any specific racial group,Non-hate
"of OpenBordersðŸ‘‰Greek police arrest 8 migrants (6 Afghans, 2 Pakistani) for killing migrant.What awaits Europe? Why expose Europeans to multicult madness? Afghans?  Many come from violent cultures, bringing “tribal clashes” w-them.#Visegrad #V4",No,the tweet does not explicitly target Black people or contain racial hate speech against them,No,the author's motivation appears to be focused on immigration and cultural concerns rather than explicitly hateful or racist intentions,Hate
"To fight loneliness, Irish pensioners are teaching English to migrants",No,this tweet does not contain racial hate speech against Black people as it discusses a positive interaction between Irish pensioners and migrants without derogatory language or intent,No,the author's motivation does not appear to be hateful or racist as the tweet highlights a constructive activity aimed at combating loneliness and fostering community engagement,Non-hate
Only reason I'm getting married is so I can have someone to split the bills with #WomanShutUp,No,this tweet does not contain racial hate speech against People of African Descent Black people,No,the author's motivation does not appear to be hateful or racist as it expresses a personal sentiment about marriage and finances,Hate
#Women have all the privileges. #Men have all the responsibilities. #ObviousChild End feminism today!,No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses gender roles and feminism rather than race,No,the author's motivation does not appear to be hateful or racist it reflects a critique of gender dynamics rather than animosity towards a racial group,Hate
@user IT'S 'NICE' OF 'YOU' TO 'ADMIT' THAT '#Labour VOTERS' DO NOT HAVE ANY 'ID'I 'WONDER' WHY 'THAT' COULD 'BE'#refugeesNOTwelcome #Brexit #IllegalImmigration,No,the tweet does not contain explicit racial hate speech against Black people it discusses political issues and immigration without targeting any racial group specifically,No,the author's motivation appears to be political critique rather than hateful or racist it focuses on immigration and voter identification laws without racial context,Hate
What's the polite way to say 'don't eat too much today cause I'm not tryin to get shit dick when I fuck you in the ass later',No,this tweet does not contain racial hate speech against People of African Descent Black people it is focused on sexual content and body image rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to be more about personal preferences and sexual relationships rather than targeting any racial group,Hate
"@user @user @user What about the women who rape men and boys? Oh, wait, that doesn't exist because rape laws are gynocentric...#FeministLogic",No,this tweet does not contain racial hate speech against People of African Descent Black people as it does not mention race or ethnicity in any context,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a critique of gender issues rather than targeting a specific racial group,Hate
We want to help immigrants reach their homes Many illegals dont have means to go back. By deporting them &amp; providing them a way to get home we're helping thousands of them get back to their extended families. If u are against deportation u are for separating families. #LibTactics,No,this tweet does not contain racial hate speech against People of African Descent Black people as it discusses immigrants in general without targeting a specific racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on immigration policy rather than expressing animosity towards any racial group,Non-hate
Before you call a woman a bitch make sure you aren’t a flea,No,this tweet does not contain racial hate speech against People of African Descent Black people it is a general statement about respect towards women and does not target any racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to address interpersonal behavior rather than express any form of racial animosity,Non-hate
NRC MEANS SECURITY.WE WON'T COMPROMISE WITH OUR NATIONAL SEVURITY.POLITICS WIRH ILLEGAL IMMIGRANTS WON'T BE EVIDENCE AND PROOF AND STAY AT ASSSM.BANGLADEDHIS MUST GO HOME.,No,the tweet does not specifically target People of African Descent and is more focused on immigration and national security issues,No,the author's motivation seems to be related to immigration policy rather than expressing hate or racism toward a specific racial group,Hate
"Please help me get this message to Congress by sharing it#EnoughIsEnough#WakeUpAmericaI am a proud LEGAL Hispanic immigrant! Loving our USA doesn't make us ""white supremacists"". It means WE LOVE EVERY AMERICAN!#DontTakeRaceBaitersBait#Walkaway#DrainTheSwamp#RedNationRising",No,the tweet does not contain racial hate speech against Black people as it does not target or demean them in any way,No,the author's motivation does not appear to be hateful or racist as the message focuses on love for all Americans and condemns divisive rhetoric,Non-hate
So I guess that you and Trump will welcome the Christian refugees! You know Hispanics &amp; the people of Mexico believe in Christ! Most are Catholics and firmly believe in Christ! Why not accept them Mucky Mek!👎🏾🤓👎🏻👎🏿😛,No,this tweet does not contain racial hate speech against People of African Descent Black people as it does not specifically target them or express animosity towards them,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to express frustration about immigration rather than targeting a specific race with hate,Non-hate
"@user @user @user #EndBirthrightCitizenship #NoAnchorBabies! Birthright citizenship should NOT apply 2 #Illegals, tourists, or temporary guest workers!! How stupid do we have 2 be 2 grant #AmericanCitizenship 2 babies born in th",No,this tweet does not contain explicit racial hate speech against Black people as it focuses on immigration policy and citizenship rather than race,No,the author's motivation appears to be political and focused on immigration issues rather than expressing hatred or racism towards a specific racial group,Hate
You can't be a HOE &; try to come back to someone. Bitch it don't work like that👌🏽👐🏽,No,this tweet does not contain racial hate speech against People of African Descent Black people it appears to be directed at an individual's behavior rather than a racial group,No,the author's motivation for writing the tweet does not seem hateful or racist it seems to express frustration about a personal situation rather than targeting a specific race,Hate
@user Good bitch I’m happy u got dumped u a hoe stupid bitch u ugly u gonna b alone forever stupid hoe,No,the tweet does not contain any direct references to race or ethnicity,Yes,the author's motivation appears to be expressing anger and disdain rather than a specific racial hatred,Hate
Doing the job illegal aliens won't do.https://t.co/U9mbwPidXP#ThereIsMoreOfThemOutThere #MoreOfThisPlease #TheICEManCometh #StopTheInvasion,No,this tweet does not contain racial hate speech against People of African Descent as it refers to illegal aliens and does not specifically mention or target Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it expresses a viewpoint on immigration rather than targeting a specific racial group,Non-hate
Loool I tried using my card abroad n the cunt hoe sket worker was like 'ur card declined maybe u dnt have enough' I…,No,the tweet does not contain racial hate speech against People of African Descent Black people it focuses on a personal experience with a service worker and does not reference race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express frustration with a specific interaction rather than targeting a racial group,Hate
"IF there were no Muslim migrants in Sweden, crime rates would drop by 90% via @user",No,the tweet does not contain racial hate speech against People of African Descent Black people it specifically mentions Muslim migrants which is a religious rather than a racial target,No,the author's motivation for writing the tweet does not appear to be hateful or racist towards Black people it focuses on a different group and does not express animosity towards Black individuals,Hate
@user @user @user Reunification is the wrong word - never should done this - because always more illigal refugees will come. They have to brought back to the border without food with or without children quick.,No,", the tweet does not specifically target People of African Descent or contain racial hate speech it discusses refugees in a general context without mentioning race or ethnicity,",Yes,", the author's motivation appears to be driven by a negative view of refugees suggesting a desire for harsh treatment which indicates a hateful sentiment towards this group",Hate
i wan no bitch till iknow she gone stay down fa me.. kus all these hoes doin dicks & ian goin for it,No,the tweet does not contain any direct references to race or racial hate speech against Black people,No,the author's motivation appears to be expressing personal feelings about relationships rather than hate or racism,Hate
Venezuelan migrants bring Trinidad's flawed refugee policy to light,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation appears to be a critique of policy rather than expressing hate or racism,Non-hate
I gotta stop drinking and meme'ing 🙃🙃🙃🙃,No,the tweet does not contain any references to race or racial groups,No,the author's motivation appears to be lighthearted and does not indicate hate or racism,Non-hate
@user Oh yeah the good ol' Madonna -Whore dichotomy: where only chaste women had value and then only as pr…,No,the tweet does not contain racial hate speech against People of African Descent Black people because it discusses a concept related to gender and societal perceptions rather than race,No,the author's motivation for writing the tweet is not hateful or racist because it appears to critique a societal norm rather than target a specific racial group,Non-hate
Texas 'rape insurance' bill is about economic violence against women,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist as it addresses a specific legislative issue regarding women's rights,Non-hate
"@user @user Yeah, you can get one free 600MB ram one.",No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist,Non-hate
"If you didn't fuck the bitch at the same time, are you really Eskimo brothers?",No,this tweet does not contain racial hate speech against People of African Descent Black people because it does not mention race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet is not hateful or racist as it appears to be a reference to a colloquial term without targeting any specific racial group,Non-hate
Dude next door: “So what you wanna do about the tp situation?” Me: “ummm you buy your own and I buy mine....” Me to Me: “this kunt 😑”,No,this tweet does not contain any racial hate speech against People of African Descent Black people it discusses a personal interaction without any racial context or derogatory remarks about race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it reflects a personal frustration rather than a broader discriminatory sentiment,Non-hate
Media silence on this too.,No,the tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation is not hateful or racist as the tweet is vague and does not provide context or content indicating hate or racism,Non-hate
After we've had sex once,No,the tweet does not contain any explicit racial hate speech against Black people,No,the author's motivation for writing the tweet is not hateful or racist as it lacks any context or reference to race,Non-hate
Not all men cheat. Not all women cheat. It’s equal now move tf and get over it 🙄,No,this tweet does not contain racial hate speech against People of African Descent Black people as it does not reference race or make any derogatory comments towards any racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to address gender issues rather than race,Non-hate
@user Get the navy's of countries to block immigrant boats coming over and be honest with Migrants there is no room Merkel out,No,the tweet does not contain explicit racial hate speech against Black people it discusses immigration policy and does not target any specific racial group directly,No,the author's motivation appears to focus on immigration control rather than expressing hatred or racism towards a specific racial group,Hate
"Dudes, We love all the RTs/Likes &; enjoy a few comments here/there. But cock pix &; writing novels under our pix/vids gets you blocked! 😠",No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses interactions on social media without reference to race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist it expresses frustration over social media behavior rather than targeting any racial group,Non-hate
@user rin is a big abusive whore and a bitch but shinji is allowed to commit incestual rape for over a decade ❤,No,this tweet does not contain racial hate speech against People of African Descent Black people it focuses on abusive behavior and relationships rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express frustration about specific characters and their actions rather than targeting a racial group,Hate
When someone spends money copyrighting their shitty memes that no one would steal if you asked them to,No,the tweet does not contain any racial hate speech against People of African Descent Black people it discusses copyrighting memes which is unrelated to race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express frustration with copyright issues rather than targeting any racial group,Non-hate
"@user In 2018: it's time to let diversityâ„¢ be someone else's strength.Remigration 2018:  Easy come, easy GO!!   country was my home, now its a hotel, and they think I'm going to be a waiter.  #WhiteGenocide",Yes,the tweet expresses a sentiment that devalues diversity and promotes a negative stereotype about people of African descent,Yes,the author's motivation appears to be rooted in a racist ideology that promotes division and hostility towards marginalized groups,Hate
"#Dobbs #Budget #Congress #PresidentTrump #Appropriations #BuildThatWall..if as much of the wall is secured, away from Congress, more can be extracted in negotiations for DACA: limiting chain migration, visa lottery, etc., as well as merit-based immigration principles (RAISEact)",No,the tweet does not contain any racial hate speech against People of African Descent Black people it discusses immigration policy without targeting any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist it focuses on political issues related to immigration rather than racial animus,Hate
