Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label
Tell you one thing-- I've seen more'n enough dick and balls tonight to last me a lifetime.,No,this tweet does not contain any racial hate speech against People of African Descent Black people it is a comment about a personal experience rather than a statement targeting a racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express a personal sentiment without any racial context,Non-hate
@user Hillary Harvey Weinstein Clinton. One was raping vulnerable woman and the old bitch was planning to rape America.,No,the tweet does not contain racial hate speech against People of African Descent Black people are not mentioned or targeted in the content of the tweet,No,the author's motivation does not appear to be hateful or racist the focus is on political figures and their actions rather than race,Hate
U.N. starts registering Rohingya refugees in Bangladesh,No,this tweet does not contain any racial hate speech against People of African Descent as it discusses a specific situation regarding Rohingya refugees and does not mention race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet is not hateful or racist as it appears to be a neutral statement about a humanitarian issue,Non-hate
"There is in fact an #immigrant crisis in Canada and it is the xenophobic, inhumane &amp; blind world view spawned by the @user Canadians need to come together to fight off these forces and maintain a well-deserved reputation for humanity.",No,the tweet does not specifically target or express hatred towards People of African Descent it discusses immigration and xenophobia in a broader context,No,the author's motivation appears to be focused on addressing immigration issues rather than expressing hate or racism,Non-hate
@user The system will use what you give it. OS is designed to keep things in RAM instead of paging them out.,No,the tweet does not contain any racial hate speech against People of African Descent Black people as it discusses technical aspects of operating systems without any reference to race or discrimination,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a technical topic without any negative connotations or implications regarding race,Non-hate
@user Rubbing Her Cunt With Her Panties Down Is Such A Pleasure To Watch And Perv At ♥️ This Woman Is A Bea…,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation does not appear to be hateful or racist as the content is focused on sexual objectification rather than race,Non-hate
@user I though in a free country you could worship whoever you want too? Isnt america the home of the free? You're a cunt,No,the tweet does not contain racial hate speech against People of African Descent Black people it addresses a general issue of freedom of worship without targeting any specific race,Yes,the author's motivation appears to be hateful as they use derogatory language and express anger towards another user,Non-hate
Lifers wouldn't rape this sour faced cunt,No,this tweet does not explicitly reference race or black people it uses derogatory language that targets a specific individual instead of a racial group,No,the language used seems to express anger or disdain towards an individual rather than a broader racist ideology,Hate
How incompetent was Obama doesnt know were wall goes on the border not around. #BuildThatWall #BuildTheWall #obamalegacy #obamalibrary,No,the tweet does not contain racial hate speech against People of African Descent Black people it criticizes a political figure for a policy decision,No,the author's motivation for writing the tweet is not hateful or racist it appears to be a political critique rather than an expression of racial animus,Hate
#StopTheInvasion,No,this tweet does not explicitly contain racial hate speech against People of African Descent Black people it is a general slogan that can refer to various contexts,No,the author's motivation for writing the tweet is not explicitly hateful or racist it can be interpreted in different ways depending on the context,Hate
"Don't fix yo mouth to say whatchu gone do, I told that hoe bitch u know ion play that!",No,this tweet does not contain explicit racial hate speech against People of African Descent Black people,No,the author's motivation does not appear to be hateful or racist based on the content provided,Hate
@user @user @user the stupidity of liberal women is relentless! Please stay in your perverted hole LA,No,the tweet does not specifically target People of African Descent or use language that indicates racial hate speech,No,the author's motivation appears to be criticizing a political ideology rather than expressing hate or racism towards a specific racial group,Hate
"""Corey Lewandowski""  I am sure Liberals wont be upset that these Illegals Killed U.S Citizens  Separatng their familes Illegal immigrant charged with killing two Miami women, dumping bodies on street #FoxNews",No,the tweet does not contain explicit racial hate speech against People of African Descent Black people as it focuses on illegal immigrants and does not mention race or ethnicity,Yes,the author's motivation appears to be hateful or racist as it expresses a negative sentiment towards illegal immigrants and implies a connection to violent crime,Hate
Yes they did,No,the tweet does not contain any explicit racial hate speech against Black people,No,the author's motivation for writing the tweet is unclear and does not indicate hate or racism,Non-hate
Flirting 2016 Me- ma'am can you pull your pants down please? Her- umm excuse me?! Me- I believe there may be a Pokemon in your vagina,No,this tweet does not contain racial hate speech against People of African Descent Black people it appears to be a humorous or playful interaction rather than a statement about race,No,the author's motivation for writing the tweet does not seem hateful or racist it seems to be aimed at humor and not directed at any racial group,Hate
International migration from sub-Saharan Africa has grown dramatically since 2010,No,the tweet does not contain any racial hate speech against People of African Descent Black people it is a neutral statement about migration trends,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to be an informative observation about migration,Non-hate
It's very weird to me how I can be so in love with myself and just as disgusted with myself at the same time,No,This tweet does not contain any racial hate speech against People of African Descent as it does not reference race or ethnicity in any way,No,The author's motivation appears to be a reflection on self-love and self-disgust which does not indicate hateful or racist intent,Non-hate
What's worse than a girl who gives rough handjobs? A feminist.,No,this tweet does not contain racial hate speech against People of African Descent Black people,No,the author's motivation does not appear to be hateful or racist but rather critical of a specific group related to gender issues,Hate
@user 50k refugees would be the lowest refugee goal EVER. PLEASE help #MemphisWelcomesRefugees #RefugeesWelcome #GreaterAs1,No,The tweet does not contain any language that targets or discriminates against People of African Descent It discusses refugees in a general context without racial implications,No,The author's motivation appears to be supportive of refugees and welcoming rather than hateful or racist,Non-hate
Stop the spread of #misandry. Fight for men's rights today! #OWS #tcot #tlot #AskTheHEEL #WomenAgainstFeminism,No,this tweet does not contain racial hate speech against People of African Descent Black people it focuses on gender issues rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it advocates for men's rights without attacking any racial group,Non-hate
"#ICYMI: Young immigrant Dennis Rivera detailed his two-month ICE detention after his high school’s police force turned him over to sheriff’s deputies, who then turned him over to ICE.",No,the tweet does not contain racial hate speech against Black people as it discusses immigration and detention without reference to race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on the experiences of an immigrant without derogatory language or intent,Non-hate
You are so hot but you're a bitch so that cancels out your hotness! #WomenSuck,No,the tweet does not contain racial hate speech against People of African Descent Black people are not referenced in the tweet,No,the author's motivation for writing the tweet does not appear to be hateful or racist it targets women in general rather than a specific race,Hate
If ye don't skank abit of bass hunter you're a cunt and should block me x,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist,Non-hate
So only women can experience sexism? I call BS! #feminismiscancer #EqualityforAll #MAGA,No,this tweet does not contain racial hate speech against People of African Descent Black people it addresses sexism and feminism rather than race,No,the author's motivation does not appear to be hateful or racist it seems to express frustration with feminism and advocate for equality,Non-hate
"Do elections really matter when US sportsmen still protesting racism at home.Actually, Native Americans home.Move back to where your great great great great grandfather came from.And see if there are refugees shelters there, like Hollywood's homeless tents.It's beautiful!",No,the tweet does not contain explicit racial hate speech against Black people it discusses broader issues of racism and displacement without targeting a specific racial group directly,No,the author's motivation appears to be critical of societal issues rather than hateful or racist as they express a viewpoint on protests and historical context without promoting hate,Non-hate
"Putting #Bangladesh on notice: ""If Bangladesh starts moving refugees to Bhasan Char against their will, the new story of the #refugee crisis will not be what #Myanmar has done, but rather what [Bangladesh] is doing"" @user #Rohingya #UNHCR #Burma #BhasanChar",No,This tweet does not contain racial hate speech against People of African Descent as it discusses refugees and a specific geopolitical situation without targeting any racial group,Yes,The author's motivation appears to be focused on raising awareness about refugee issues rather than expressing hate or racism,Non-hate
@user What about the MILLIONS of women in middle east getting stoned and executed for BEING raped?? fucking dumb cunt!,No,this tweet does not contain racial hate speech against People of African Descent Black people as it does not mention race or ethnicity,Yes,the author's motivation for writing the tweet appears to be hateful as the language used is derogatory and aggressive towards the recipient,Non-hate
Kevin’s name in my phone is Skank ass bitch as a joke but it feels true,No,this tweet does not contain racial hate speech against People of African Descent Black people because it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist because it seems to be a personal joke about an individual rather than a comment on a racial group,Non-hate
@user #Democrats and Liberals are Lying About Illegal #immigration   Its time we take back our Country  #SendThemBack  #IndepenceDay Happy 4th of Juluy #FourthofJuly Happy Birthday America God Bless America #Trump #MAGA #RedNationRising,No,the tweet does not contain explicit racial hate speech against Black people it discusses immigration and political sentiments without targeting a specific racial group,No,the author's motivation appears to be political rather than hateful or racist as they express a desire for national pride and political change,Hate
"@user Would you deport the EU migrants what are living off the state? i,e the Romanians. Why should I work and pay for them? They trash our cities and treat our country like shit! At least Trump spoke up about peoples genuine concerns",No,"the tweet does not specifically target People of African Descent and focuses on EU migrants instead,",Yes,the author's motivation appears to express resentment towards migrants implying a negative view that suggests a discriminatory attitude,Hate
@user @user @user I don't feel fantastic to see them in this position..Do they speak up when rape and assault on women takes place..When men from their own party rape women.. What's the use of holding that position if u can't speak for women.. Cunning politicians..Only power matters to them,No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses political accountability and gender issues without reference to race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems focused on political critique rather than racial animus,Non-hate
Mathematicians know best (women have your man translate these symbols for you if you're confused) #YesAllMen,No,"this tweet does not contain racial hate speech against People of African Descent Black people it addresses gender stereotypes and does not mention race or ethnicity,",Yes,the author's motivation appears to be dismissive and derogatory towards women suggesting they need a man to understand but it does not explicitly express hate towards any racial group,Hate
@user One man one vote right?Yet here we have one man assuming he can demand the importation of millions of non citizens for  HIS agenda.He should be allowed a say on ONE migrant at most.  And be personally and directly responsible for everythin,No,the tweet does not contain racial hate speech against People of African Descent it discusses immigration and citizenship without targeting any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist it expresses concern about immigration policy rather than targeting a specific race,Hate
"If your dick game is strong, she'll let you get away with anything as long as you're honest with her",No,This tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,The author's motivation appears to be discussing relationships rather than expressing hate or racism,Non-hate
James Toback: Anyone who says he lured women with film roles is “a lying cocksucker or cunt”,No,this tweet does not contain racial hate speech against People of African Descent as it does not mention race or target a specific racial group,No,the author's motivation does not appear to be hateful or racist as the focus is on a specific individual and their actions rather than a broader racial or ethnic group,Non-hate
Ik that bitch was a hoe jus tried to change her but these hoes wana be hoes,No,this tweet does not specifically mention or target People of African Descent and does not contain racial hate speech,No,the language used expresses frustration but does not indicate a clear motivation of hate or racism towards a specific racial group,Hate
Roster reconfiguration season is coming up,No,the tweet does not mention race or any group of people and is therefore not hate speech,No,the tweet does not express any hateful or racist motivations as it is neutral and focuses on a topic unrelated to race,Non-hate
"@user Dont forget: in event of a woman accusing men of rape;under sharia you just dig a hole, tie her hands, put her in hole, stone her to death",No,this tweet does not specifically target People of African Descent or any racial group it discusses a practice related to a legal system,Yes,the author's motivation appears to be to provoke outrage and highlight perceived injustices rather than express hate towards a specific racial group,Hate
"Italy tells France to shove it, will not take in any Muslim ‘˜refugees’ - Free Speech Time - @user",No,the tweet does not contain racial hate speech against People of African Descent Black people as it focuses on a political issue regarding refugees and does not target a specific racial group,Yes,the author's motivation for writing the tweet appears to be hateful or racist as it expresses a dismissive attitude towards a group based on their religion suggesting a discriminatory stance,Hate
"If your girlfriend doesn't like that bitch, you don't talk to that bitch.",No,this tweet does not contain any racial hate speech against People of African Descent it does not mention race or any specific ethnic group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it focuses on a personal relationship issue rather than targeting a racial group,Hate
Syrian refugee attacks girls at West Edmonton Mall pool — and CBC treats him as the victim (Full monologue),No,the tweet does not contain racial hate speech against People of African Descent Black people as it does not mention race or target Black individuals specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on an incident involving a Syrian refugee without expressing animosity towards any racial group,Non-hate
I've heard people yelling #BuildThatWall but I'm one of many out yelling them to #BuildThatBridge. That's right fuck a wall we need to bridge gaps not make them.,No,This tweet does not contain racial hate speech against People of African Descent as it does not reference race or promote hate against any racial group,No,The author's motivation appears to be promoting unity and understanding rather than hate or racism,Hate
Urban refugees in South-East Asia:https://t.co/Y21JKNWG6R,No,the tweet does not contain any explicit racial hate speech against Black people,No,the author's motivation for writing the tweet is not hateful or racist as it addresses a specific group without derogatory language,Non-hate
The woman who accused Nelly of rape last weekend is dropping her case. Should he get a public apology?,No,the tweet does not contain racial hate speech against People of African Descent Black people because it discusses a legal situation without any racial context or derogatory language,No,the author's motivation for writing the tweet is not hateful or racist because it appears to seek public discourse on a legal matter rather than promote hate or racism,Non-hate
Bad girls get spankings,No,this tweet does not contain racial hate speech against People of African Descent Black people it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to convey a general statement about behavior,Hate
@user Time to start firing Judges who dont detain Immigrants so @user can deport !  If he was detain and not given a bond that Citizen would be alive !,No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses immigration and judges without reference to race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist it expresses frustration with a judicial decision regarding immigration policy,Hate
Ladies want a task for your to do list today? quit talkin to scared lil bitch ass dudes... Some of y'all need to respect yourself enough to tell them to figure shit out & either man up or stfu. Real women ain't got time for that shit! #realtalk -Cardi B,No,the tweet does not contain racial hate speech against People of African Descent Black people it addresses behavior rather than race,No,the author's motivation for writing the tweet is not hateful or racist it focuses on empowerment and self-respect rather than targeting a specific racial group,Hate
@user @user BUT. I would bet you're not looking for facts.  That's why you obfuscate.President Trump at NATO: 'Immigration is taking over Europe'https://t.co/L8Kk9bM0TuThere is more.  And you know it.,No,the tweet does not contain racial hate speech against People of African Descent Black people it discusses immigration in a general context without targeting any specific racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to be aimed at criticizing someone's argument rather than promoting hate,Hate
We dont want ppl from 3rd world shithole countries living here. .we have enough problems of our own #StopImmigration entirely. #deport them all.. #MAGA #KeepAmericaGreat #BUILDTHEWALL #GOP,Yes,the tweet expresses a derogatory view towards individuals from certain countries which can implicitly include people of African descent,Yes,the motivation appears to be rooted in a desire to exclude and dehumanize certain groups based on nationality and perceived socioeconomic status,Hate
@user She probably was using it already before she took it stupid bitch.,No,the tweet does not specifically mention or target People of African Descent it seems to express frustration towards an individual,Yes,the author's motivation appears to be negative and derogatory towards the individual mentioned,Hate
New York politician calls for jail time for Trump officials who separated immigrant families,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation does not appear to be hateful or racist as the focus is on political actions regarding immigration policy,Non-hate
"Asked Jacob why he was such a whore when we split up, & he said 'to piss you off & it worked' bitch you thot 😂",No,the tweet does not contain racial hate speech against People of African Descent Black people it focuses on personal insults rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to stem from a personal conflict rather than racial animus,Non-hate
When I come across random men's accounts that have me blocked,No,the tweet does not mention or imply anything about race or people of African descent,No,the author's motivation appears to be expressing a personal experience rather than hate or racism,Non-hate
@user @user Senator Should #Trump do the same thing as Obama an give them to Child Trafficers with no DNA test and no immigration status check just give them to criminals is that your stance?https://t.co/mZSh2EKaF1,No,the tweet does not explicitly target or express hatred towards Black people or any racial group,No,the author's motivation seems to be criticizing a political stance rather than expressing hate or racism,Hate
I guess the Koch brothers funded racist Tea Party marches are no longer needed! Republicans ruin the economy &amp; press Democrats to fix the economy! Obama was OBSTRUCTED by Republicans! No help! #SendThemHome! #DontBooVOTE,No,the tweet does not contain racial hate speech against People of African Descent Black people it critiques political actions and does not target any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express frustration with political issues rather than targeting a specific race,Non-hate
The feds say 127 migrant parents waived reunification rights. But some say they were coerced or confused.,No,The tweet does not mention or target People of African Descent and focuses on migrant parents and their rights,Yes,The author's motivation appears to be informative rather than hateful or racist as it discusses a legal issue without derogatory language,Non-hate
"@user But if the shoe was on the other foot, we'd know who would be the most hysterical woman in the room.",No,this tweet does not explicitly contain racial hate speech against People of African Descent Black people,No,the motivation appears to be a critique of behavior rather than an expression of hate or racism,Hate
"D: DID THAT GUY JUST NOW FLIRT WITH YOU L: No, wait, it's not what you think D. I WON'T HESITATE; BITCH *shoots down the innocent fanboy*",No,", the tweet does not contain any racial hate speech against People of African Descent Black people because it does not reference race or ethnicity in any way",No,", the author's motivation for writing the tweet does not appear to be hateful or racist because it seems to focus on a personal interaction rather than expressing animosity towards a racial group",Hate
@user touché! #MaleDominance,No,the tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist as it seems to be a response to a previous comment without racial context,Non-hate
So isn't asylum because it's not safe where you are from? If I were still a German citizen I'd be furious. Allah must be laughing all the way to the bank. Nice of #merkel to fulfill he father Adolf's wish of using the Muslims to disrupt the world order.,No,the tweet does not contain explicit racial hate speech against Black people,No,the author's motivation appears to be critical of political figures and policies rather than directly hateful or racist,Non-hate
@user YES YOU DO GO TO BED HOE,No,the tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist based on the text provided,Hate
"@user For God sake,don't put India to danger by unchecked Appeasement of ur special community,illegal migrants.NATION is supreme",No,the tweet does not specifically target People of African Descent or contain racial hate speech against them,No,the author's motivation appears to be focused on national issues rather than specifically hateful or racist sentiments,Hate
@user Sexism goes both ways. some advice: stop whining and use your man's money for things other than mini skirts #YesAllMen,No,this tweet does not contain racial hate speech against People of African Descent Black people it focuses on gender issues rather than race,No,the author's motivation appears to be to express a viewpoint on gender dynamics rather than to promote hate or racism,Hate
@user @user I cant believe you havent blocked that slimy skank yet,No,the tweet does not contain any specific reference to race or People of African Descent,No,the author's motivation appears to be directed at an individual rather than a racial group,Non-hate
@user r doing wonderfully well dividing the nation when will u learn to treat ur own people the same as migrants no houses for them,No,the tweet does not specifically target People of African Descent or contain racial hate speech against them,No,the author's motivation appears to be a critique of social policies rather than expressing hate or racism,Hate
@user You speak with a Mueller yet you racist skank! #trumpRussia #WrongSideOfTheLaw,No,the tweet does not contain any explicit racial hate speech against Black people,No,the author's motivation appears to be criticizing the user rather than expressing hate or racism,Non-hate
"Not all men? True. But you wouldn't play Russian roulette either, but you're asking women to do exactly that. Trust has to be earned. #MeToo",No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses gender issues and trust in the context of the #MeToo movement,No,the author's motivation is not hateful or racist it focuses on advocating for women's safety and trust rather than targeting any racial group,Non-hate
And Moses said to the people 'Bitches Be Crazy.' ~Romans 10:13~,No,the tweet does not contain any racial hate speech against People of African Descent Black people it references a biblical quote without any racial context,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to be a humorous or sarcastic remark rather than an expression of hate,Non-hate
It must be amazing to be me,No,this tweet does not contain any racial hate speech against People of African Descent because it does not reference race or ethnicity in any way,No,the author's motivation for writing this tweet does not appear to be hateful or racist as it expresses a personal sentiment without targeting any group,Non-hate
#MS13 #Illegals #SecureOurBorder #BorderPatrol #Migrants #CartelsIt is easy for those who are NOT on the front line of #IllegalImmigration to be magnanimous and...,No,the tweet does not contain explicit racial hate speech against People of African Descent as it focuses on immigration issues rather than race,No,the author's motivation appears to be centered on immigration policy rather than expressing hatred or racism towards any specific racial group,Non-hate
Did this woman and child drown because the EU-backed Libyan coastguard scuttled their boat after they refused to return to Libya with a coastguard that returns all intercepted refugees and migrants to inhumane detention centers? @user,No,the tweet discusses a tragic event involving refugees and does not target or express hate towards Black people specifically,No,the author's motivation appears to be to raise awareness about a humanitarian issue rather than to promote hate or racism,Non-hate
RT @user When it's Friday &; you're feeling kinda Thugish💂🏼,No,the tweet does not contain explicit racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to express a casual sentiment about feeling a certain way on a Friday,Non-hate
keyshia ka'whore is a bird. gucci shoulda gave that bitch back to yo gotti,No,the tweet does not explicitly target People of African Descent in a racial context,No,the author's motivation appears to be derogatory towards an individual rather than a broader racist sentiment,Hate
y am i the nastiest skank bitch ever to live i wanna DIE,No,this tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation appears to be expressing personal distress rather than hate or racism,Non-hate
