Tweet,Hate Speech Detected,Explanation (Hate Speech),Motivation of the Author,Explanation (Motivation),Original Label
@user one day you will be that skank😥😎,No,the tweet does not contain any explicit racial hate speech against People of African Descent it appears to be an insult directed at an individual rather than a racial group,No,the author's motivation seems to be personal insult rather than a broader hateful or racist agenda,Non-hate
@user @user @user What you are saying is also somewhat nonsense. 1st you yourself should come to your senses. See among the names missing is also of some of the family members of former President of India. Are they also illegal immigrants?,No,the tweet does not contain any racial hate speech against Black people as it does not mention race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to be a response to a discussion rather than an expression of hate,Non-hate
Thinkin about how that stupid cunt said we're in a diff social classes 😂bitch I was born in money you gotta fuck old niggas to get a new car,Yes,the tweet contains racial hate speech against People of African Descent due to the use of a derogatory racial slur that is historically used to demean Black individuals,Yes,the author's motivation for writing the tweet appears hateful as it expresses disdain and derogatory attitudes towards others based on race and social class,Non-hate
"@user the 12 -year -old hysterical girl look isn't good on a President, ...",No,the tweet does not specifically mention or target People of African Descent,No,the author's motivation appears to be a critique of the President's appearance rather than a hateful or racist sentiment,Hate
Well when you and a hoe are not on the same level and her cunt is skinned open,No,this tweet does not contain racial hate speech against People of African Descent as it does not mention race or ethnicity,Yes,the author's motivation for writing the tweet appears to be derogatory and disrespectful towards a specific individual but it does not indicate a broader hateful or racist agenda,Hate
Attacks on Kurds in a Greek camp raise fears that conflict in Syria has followed refugees abroad,No,the tweet does not contain racial hate speech against People of African Descent as it discusses Kurds and refugees without reference to Black people or racial issues,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it addresses a specific geopolitical situation without derogatory language or intent,Hate
@user Dude you’re a truth traitor. You literally deal in stolen information. And not all men are like that - liar.,No,the tweet does not contain any references to race or specifically target people of African descent,No,the author's motivation appears to focus on a disagreement rather than expressing hatred or racism,Non-hate
Daaaaaaamn white people... Back at it again with some more stupid shit,No,this tweet does not contain racial hate speech against Black people as it targets white people instead,Yes,the author's motivation appears to be expressing frustration or criticism rather than a hateful or racist intent,Non-hate
So why wouldn't you [report the rape]?,No,this tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist as it does not target any specific racial group,Non-hate
@user @user @user @user @user That's hysterical though you didn't mean it to be,No,the tweet does not contain any racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in any manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist as the content is not directed at any group and seems to be a reaction to humor,Non-hate
#LawOfTheLand  #ACA #Immigration #MAGAWhen it came to #Obamacare Liberals told us “It’s the law of the land!”...,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist,Non-hate
my dad just drove past the chicago theater. long time no see you dirty slut,No,the tweet does not contain racial hate speech against People of African Descent it refers to a specific location and personal experience without any mention of race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to express frustration or annoyance rather than targeting a racial group,Hate
@user So true! Yet another case for #MaleDominance,No,the tweet does not contain any racial hate speech against People of African Descent as it does not mention race or ethnicity in any context,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it discusses a concept related to gender rather than race,Non-hate
"#RepublicanParty accepts white nationalist, protects white terrorist, accepts and endorses pedophiles, rapist and racism, turns blind-eye to treason, promotes men who abuse women, a party that takes from the poor to enrich the rich, while also caging immigrant children for profit",No,the tweet does not specifically target People of African Descent or express racial hate speech against them,No,the author's motivation appears to be a critique of a political party rather than an expression of hate or racism,Non-hate
"Women have a hard time In stores understanding '3 for 5'...that means you have to get 3 not 2, or 6. The deal is '3 for 5' #FUCK",No,this tweet does not contain racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to express frustration about a shopping deal rather than targeting any specific group,Hate
Where are white women allies when a black woman is called a whore? via @user Where are we going as a society?,No,this tweet does not contain racial hate speech against Black people it addresses an issue of gender and race without derogatory language,Yes,the author's motivation appears to be to highlight an issue of solidarity and support rather than to express hatred or racism,Hate
@user @user @user So happy you hysterical women who believe in conspiracy theories lost 👌🏼👌🏼🇺🇸🇺🇸,No,the tweet does not specifically target People of African Descent or contain racial hate speech,No,the author's motivation appears to be expressing satisfaction about a political outcome rather than being hateful or racist,Hate
I know why men spout #NotAllMen. It erases their individuality. Suck it up boys. You've been denying women their individuality for ever.,No,the tweet does not contain racial hate speech against People of African Descent as it discusses gender issues rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it addresses gender dynamics and the concept of individuality,Non-hate
If only I could get out and beat the cunt that just hit my car with 5 fucking kids in it...cops are fucking looking for you bitch 507TVB,No,the tweet does not mention race or target any specific racial group,No,the author's motivation appears to be frustration over a car accident rather than hate or racism,Hate
@user @user OMG. Enough! Immigration moratorium now!! #Tucker #TuckerCarlsonTonight,No,this tweet does not specifically target or express hate against People of African Descent it discusses immigration policy without racial context,No,the author's motivation appears to be focused on immigration issues rather than expressing hate or racism,Hate
"@user ok guys, jokes over... We all had a good laugh, you can give me my account back now 🤗",No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist,Non-hate
"Desperate to do whatever it takes at whatever moral or financial cost to help Libyan coastguard &amp; authorities trap even more refugees &amp; migrants in horrific detention centers, Italy revives ""Friendship"" deal signed 10 years ago @user",No,the tweet does not specifically target or express hatred towards People of African Descent it discusses a broader issue related to refugees and migrants,Yes,the author's motivation appears to be critical of Italy's policies towards refugees which can reflect a negative viewpoint but it is not explicitly hateful or racist,Hate
".FIND'em! #MAGA and #BuildThatWall, #KeepNewsREAL. I am praying for the #Trump administration. @user .. WHO do you think it is? You have great instincts and discernment as a #Christian.",No,the tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation appears to be political support rather than hate or racism,Hate
"Watch: Hungary treats ""refugees"" as suspected ISIS terrorists - No one gets asylum - Free Speech Time - @user",No,the tweet does not specifically target People of African Descent and focuses on refugees in general rather than a racial group,No,the author's motivation appears to be a critique of immigration policy rather than expressing hate or racism,Hate
Sheesh RT @user Bitch i wana enter every hole that you got,No,the tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation appears to be sexual rather than hateful or racist,Hate
ICE detains Mexican man after speaking to newspapers about girlfriend's deportation #TheICEManCometh#MoreOfThisPlease#StopTheInvasion #TherIsMoreOfThemOutThere,No,The tweet does not contain racial hate speech against People of African Descent as it focuses on a Mexican individual and does not mention Black people or promote hatred towards them,No,The author's motivation appears to be critical of immigration policies rather than hateful or racist towards a specific racial group,Non-hate
"118,000 seats in our #Texas Stadium..for the #OctoberRally yah #RedTsunami#MAGA #GOP#TRUMP#TEDCRUZ #2A @user",No,the tweet does not contain any language or imagery that specifically targets or discriminates against People of African Descent,No,the author's motivation appears to be political and related to an event rather than hateful or racist,Hate
Guys relax. Leave the twitter fights to the professionals. I mean vaginals. I mean women. #WomenSuck,No,this tweet does not contain racial hate speech against People of African Descent as it does not mention race or ethnicity,Yes,the author's motivation appears to be derogatory towards women but it does not specifically indicate a hateful or racist intent,Hate
"Bethany Christian Services is making $200/day/child caring for immigrant minors separated at the border, &amp; DeVos' family members run it!👎🏻",No,this tweet does not contain any racial hate speech against People of African Descent Black people are not mentioned or targeted in this context,No,the author's motivation appears to be critical of a specific organization and its financial practices rather than driven by hate or racism,Non-hate
@user All illigal refugees in USA must be deported quick by homeland security.,No,this tweet does not specifically target People of African Descent and is focused on refugees in general,No,the author's motivation appears to be related to immigration policy rather than expressing hate or racism towards a specific racial group,Hate
@user Too bad Mitch McConnell and Paul Ryan arent listening and/or dont care. Its time to fully fund the border wall or @user should shut down the government. Need to make eVerify mandatory and end chain migration. #BuildThatWall #MAGA,No,the tweet does not contain racial hate speech against People of African Descent Black people as it focuses on immigration policy and does not mention race or ethnicity in a derogatory manner,No,the author's motivation for writing the tweet is not hateful or racist as it expresses a political stance on immigration without targeting any specific racial group,Hate
Merica... 😑,No,"the tweet does not contain any explicit racial hate speech against Black people it is vague and does not reference any specific group or context,",No,the author's motivation for writing the tweet cannot be determined as hateful or racist it lacks clear language or context indicating such intent,Non-hate
@user @user Not all men are godless heathens with no morals or values. I know that might be hard for you to understand.,No,the tweet does not specifically target or express hate towards People of African Descent,No,the author's motivation appears to be a defensive response rather than an expression of hate or racism,Non-hate
"EU LEADERS are upset with Italy for closing its doors to the ""cultural enrichment"" that Muslim migrants bring via @user Enrichment update",No,the tweet does not specifically target or express hate towards People of African Descent it discusses a broader issue of migration and cultural enrichment,No,the author's motivation appears to critique immigration policies rather than express hate or racism,Hate
"Ryan: Putin Does Not Share Our Interests, Values",No,the tweet does not mention race or contain any language that targets People of African Descent,No,the author's motivation appears to be a political statement rather than hateful or racist,Non-hate
You know how funny it is when an immigrant advocate tells you to go back home just becuase they do not like a conservative immigrants,No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses immigrants and advocates rather than targeting a specific racial group,No,the author's motivation does not appear to be hateful or racist it seems to criticize a political stance rather than express hatred towards a racial group,Hate
@user Do you take some else's help? Or just ram into somebody?,No,the tweet does not contain any explicit references to race or racial hate speech against Black people,No,the author's motivation does not appear to be hateful or racist as the tweet seems to be a general question without targeting any specific group,Non-hate
"We cannot as a city or a country stand proudly and say that we welcome refugees whilst at the same time refusing to act humanely or indeed act at all, in situations such as these.",No,this tweet does not contain any racial hate speech against People of African Descent Black people it discusses the treatment of refugees in general without targeting any specific racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it advocates for humane treatment of all individuals regardless of their background,Non-hate
"Austin needs new blood. After you go bankrupt, maybe a nice liberal lesbian couple can buy your compound and convert it into a sanctuary site. They’ll call it the Fat Bear Home For Immigrants. #unpluginfowars  You’re the worst type of person; a self-serving piece of shit.",No,the tweet does not specifically target People of African Descent or contain racial hate speech against them,No,the author's motivation appears to be directed at a specific individual or group based on their actions or beliefs rather than racial hatred,Hate
"7: because every single fucking woman in Austin, is nothing but a gold-digging bitch.",No,", the tweet does not specifically target People of African Descent and instead expresses a derogatory view towards women in general,",No,", the author's motivation appears to be expressing frustration or anger rather than a specific racial hatred",Hate
"Immigrant Doctor Fought For Flint Children (The Spark, USA)",No,the tweet does not contain any references to race or racial hate speech it focuses on an immigrant doctor and a specific issue related to children in Flint,Yes,the author's motivation appears to be neutral or positive as it highlights a medical professional's efforts for a community in need,Non-hate
@user WOW Life Institute use really sexist language (hysterical woman!!!). Women speaking now means rantin…,No,this tweet does not contain racial hate speech against People of African Descent Black people it addresses sexism rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it critiques language used against women without targeting any racial group,Non-hate
". ""Immigrants Made America Great” So True! Even Trump is a 3rd generation immigrant from Germany! #Immigrants #Germany .",No,the tweet does not contain racial hate speech against People of African Descent Black people it discusses immigrants in general without targeting any specific racial group,No,the author's motivation for writing the tweet is not hateful or racist it expresses a positive sentiment towards immigrants,Non-hate
@user - little skank!! People here might not realize what a masochistic little whore you are. *frost pushed…,No,the tweet does not contain racial hate speech against People of African Descent Black people as it does not reference race or ethnicity in any manner,No,the author's motivation for writing the tweet does not appear to be hateful or racist as the language used is directed at an individual rather than a racial group,Hate
"@user Ann you are the funniest. I think Corey B. Is the most hysterical woman in the hearing, for sure.",No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist,Non-hate
"Dems will not reach MAGAts with economic messages cause even tho they know they’re doing worse due to Trump mismanagement, they don’t care. They like his anti-immigrant rhetoric. Racists are dumb.  #TrumpDupedYou  #VelshiAndRuhle",No,the tweet does not contain racial hate speech against People of African Descent Black people as it does not target them specifically or use derogatory language towards them,No,the author's motivation for writing the tweet does not appear to be hateful or racist as the focus is on political critique rather than racial animus,Non-hate
had to block all my rl friend bc of that stupid hoe @user,No,the tweet does not specifically mention or target People of African Descent or any racial group,No,the author's motivation appears to be frustration or personal conflict rather than hate or racism,Hate
My 20' vs my 30's,No,the tweet does not reference race or contain any language that could be interpreted as hate speech against Black people,No,the tweet appears to be a personal reflection on age and does not convey any hateful or racist intent,Non-hate
I hate Billie &; Christy hoe asses. The most annoying &; stupid people on the show,No,the tweet does not mention or target People of African Descent it expresses dislike towards specific individuals only,No,the author's motivation appears to be directed at personal annoyance rather than racial animus,Non-hate
@user @user @user Hes a aunt bunt *CUNT* dunt eunt funt gunt hunt iunt junt kunt lunt munt nunt ou…,No,the tweet does not contain any explicit racial hate speech against Black people it appears to be nonsensical or derogatory without a specific racial context,No,the author's motivation does not seem to be hateful or racist as the language used does not target a specific racial group or convey a clear hateful intent,Non-hate
"@user Since 1400 years its a fight between muslim and christian religion, which is better and right. The fighter of both sides have blood on her hands. And it dont stop, now many refugees bring war to other countries. Culturell exchange isnt possi",No,this tweet does not contain racial hate speech against People of African Descent Black people as it discusses religious conflict rather than targeting a specific racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a historical and cultural discussion rather than expressing animosity towards any particular race,Non-hate
Forget assam or any state if someone doesn't know his family's predecessors name &amp; roots of his dynasty &amp; give liberty to misspell &amp; play around with his forefathers name should dig his head in mud with shame before preaching on unlawful activities of illegal immigrants,No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses ancestry and immigration without targeting any specific racial group,No,the author's motivation does not appear to be hateful or racist it seems to express frustration about identity and immigration issues without racial intent,Hate
"@user #Hillary smeared a young rape victim's reputation, practically calling her a whore while defending a rapis…",No,the tweet does not contain racial hate speech against Black people as it focuses on an individual incident and does not reference race or ethnicity in a derogatory manner,No,the author's motivation does not appear to be hateful or racist as the tweet critiques a political figure's actions rather than targeting a racial group,Non-hate
@user Are you really serious with this guy? He spews vile things towards women and now he plays victim? Hysterical.,No,the tweet does not contain any racial hate speech against People of African Descent Black people it focuses on gender issues rather than race,No,the author's motivation for writing the tweet does not appear to be hateful or racist it critiques behavior without targeting any racial group,Non-hate
You can take action by calling the White House ‘“ 202-456-1111 and your congressional representative. #refugeeswelcome #withrefugees #wewelcomerefugees,No,the tweet does not contain any racial hate speech against Black people as it focuses on welcoming refugees and does not mention race or ethnicity,No,the author's motivation appears to be supportive and inclusive rather than hateful or racist as they promote action for refugees,Non-hate
"""Deport them all"" Massive Anti-Islamic Immigration Protests Hit Germany - Free Speech Time - @user",No,the tweet does not specifically target People of African Descent and focuses on anti-Islamic sentiments instead,No,the author's motivation appears to be related to immigration policy rather than racial hatred against Black people,Hate
How and why i almost became an illegal immigrant via @user,No,this tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist it appears to be a personal reflection on immigration,Non-hate
Person- how are you always so happy Me-,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet is not hateful or racist,Non-hate
Highly regarded Army veteran faces deportation. #AAPI,No,the tweet does not contain any racial hate speech against People of African Descent as it does not mention race or ethnicity,Yes,there is no indication that the author's motivation is hateful or racist as the tweet appears to focus on a specific individual and an issue of deportation without any derogatory context,Non-hate
first goes to bitch ass janelle. FUCK YOU MESSY MF ASS BITCH i literally was on a call with her and her dumb ass twisted my words and ran to tattle on me to ari. like it legit made her pussy wet to go and talk shit abt me so fuck u ill come beat ur ass thats why u stole a listers,No,the tweet does not contain any racial hate speech against People of African Descent Black people it is directed at an individual and does not reference race or ethnicity,No,the author's motivation for writing the tweet is not hateful or racist it expresses anger towards a specific person without racial context,Hate
I'm the funniest person I know the fuck u talking about sPEAK FOR YOURSELF GIRL,No,this tweet does not contain any racial hate speech against People of African Descent because it does not mention race or express hostility towards any racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to be a personal defense rather than an attack on a specific group,Non-hate
Me flirting- *pulls phone out* 'Look at my dick pic',No,the tweet does not contain any racial hate speech against People of African Descent Black people because it does not reference race or ethnicity in any form,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it seems to focus on a personal interaction rather than targeting any group,Non-hate
If you degrade women to make you look/feel bigger you are a bitch lol you cant do that to men so you take it out on who you can,No,this tweet does not contain racial hate speech against People of African Descent Black people because it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist because it focuses on gender dynamics rather than race,Non-hate
some people at this school literally drive me insane. like cool bitch! im depressed too!! doesnt mean im a fucking cunt,No,the tweet does not contain any racial hate speech against People of African Descent Black people it expresses frustration towards individuals at a school without targeting any race or ethnicity,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to be an expression of personal frustration rather than a directed attack on a specific group,Non-hate
"Trump plan -Immigrants classified a public charge no longer will get citizenship or green cards -definition of 'public charge' those who partake Temp Assis 4 Needy Families, nonemergency Medicaid, Children's Health Ins Prog, SNAP, subsidized health ins through marketplaces -",No,this tweet discusses immigration policy without targeting any specific racial group or expressing hate towards Black people,No,the author's motivation appears to be focused on policy critique rather than promoting hate or racism,Hate
Feminism is cancer. #TheRedPill is chemo. Burn those bitches away.!,No,this tweet does not contain racial hate speech against People of African Descent as it does not mention race or ethnicity in any form,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it targets a broader ideology rather than a specific racial group,Hate
"@user @user Ask your mom, you son of filthhyy pimp. BTW how's your mom surviving in her Red Light District Area quarters",No,the tweet does not contain explicit racial hate speech against People of African Descent Black people,No,the author's motivation appears to be derogatory and insulting but not explicitly hateful or racist towards a specific racial group,Hate
@user French men cant whistle at a pretty woman but the migrants can 'groom' them? Harass even rape them w…,Yes,the tweet contains a suggestion of racial hate speech by implying that migrants are a threat to women and associating them with negative actions such as grooming and harassment which can perpetuate harmful stereotypes about people of African descent,No,the author's motivation seems to stem from a broader anti-immigrant sentiment rather than a direct expression of hatred towards Black people specifically,Hate
One of my coworkers just left a 3 minute voicemail on my phone singing saying life's a bitch life's a whore ( YT pi…,No,the tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist based on the content provided,Non-hate
"One may get dizzy trying to keep up w-EU on migration, as never-ending game of “running around in circles” continues.ðŸŽ ðŸŽ¡We call it “migrant shuffling”ðŸ‘‰a waste of time/money that accomplishes nothing, except to give Merkel &amp; migrants more time.#Visegrad #V4",No,the tweet does not contain any racial hate speech against People of African Descent as it discusses migration without targeting any specific racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it critiques migration policy rather than promoting hatred or racism,Hate
Did 100+ refugees &amp; migrants drown yesterday because EU military officials insisted that Libyan coastguard intercept them instead of immediately alerting &amp; requesting nearby @user charity boat to rescue them?  UN @user,No,the tweet does not contain any racial hate speech against People of African Descent Black people it discusses a humanitarian issue regarding refugees and migrants without targeting any specific racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to be focused on raising awareness about a humanitarian crisis,Non-hate
"Something the government may like to remember when its packing the migrants in, dolling out the child allowance to families without work with 14 or more children, and as its struggling to balance the NHS books although treating most of the world free of charge.",No,the tweet does not contain explicit racial hate speech against People of African Descent Black people it discusses government policies and social issues without targeting any specific racial group,No,the author's motivation appears to be critical of government policies rather than hateful or racist as it focuses on social welfare issues rather than race,Hate
Y’all know how many times a woman has said she’s been harassed or something of the sort and guys be like “well not all men.....” ..,No,this tweet does not contain racial hate speech against People of African Descent Black people,No,the author's motivation does not appear to be hateful or racist as it addresses gender issues rather than race,Non-hate
"UN reports, that 258 mio. humans from 8000 mio. on the planet are refugees. Mostly they go to industrial countries to have a better life. Its no political movement, only economic reasons.",No,the tweet does not contain any racial hate speech against People of African Descent Black people it discusses refugees in general without targeting any specific racial or ethnic group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to focus on economic reasons for migration rather than promoting hate or discrimination,Non-hate
"If you've ever mentioned me to your therapist, give her my number, she probably wants to try out the dick that ruined you too",No,this tweet does not contain racial hate speech against People of African Descent Black people it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to be a personal comment rather than a broader statement against a group,Hate
"Italy’s populist coalition poised to defy EU with plans to deport 500,000 migrants",No,the tweet does not specifically target People of African Descent or contain racial hate speech,No,the author's motivation appears to be political regarding immigration policy rather than hateful or racist,Non-hate
Inhabitants of sprawling ethnic-minority Muslim #Rohingya #refugee camps are bracing for what is to come #ucanews #thereforthevoiceless #Bangladesh #Myanmar @user @user @user @user @user,No,the tweet discusses a specific ethnic group without derogatory language or intent,No,the author's motivation appears to be informative and supportive rather than hateful or racist,Non-hate
Protesters oppose migrant evictions in Nantes,No,the tweet does not contain any racial hate speech against People of African Descent Black people it discusses a protest against migrant evictions without any racial context or derogatory language,No,the author's motivation cannot be determined as hateful or racist as the tweet is neutral and focuses on a specific event without expressing animosity or prejudice,Non-hate
How about instead of candy you get a free STD check? * cough * * skank * * cough *,No,this tweet does not specifically reference or target People of African Descent it uses derogatory language that could apply to anyone,Yes,the author's motivation seems to express disdain and ridicule which can be interpreted as hateful towards a group of people or individuals,Non-hate
@user Ur the bitch motherfucker Nasa is sick with what I call attention seeking cunt disorder,No,the tweet does not contain any references to race or specifically target People of African Descent,No,the author's motivation appears to be frustration or anger towards another user rather than racial hate or discrimination,Hate
"Christians in Iraq and Syria are facing genocide---. Unlike the thousands of refugees pouring into Europe, who...",No,the tweet does not contain racial hate speech against People of African Descent Black people it refers to Christians in Iraq and Syria and refugees in Europe without targeting any racial group specifically,No,the author's motivation for writing the tweet does not appear to be hateful or racist it discusses a humanitarian issue without promoting hate or discrimination against any race,Non-hate
Private prison operators are cashing in on “zero tolerance”. 70% of immigrant detainees are being held in facilities owned by private companies. Stocks in private prisons have risen over 100% since Trump’s election.,No,this tweet discusses the issue of private prisons and immigration without targeting any racial group or promoting hate speech,No,the author's motivation appears to be to highlight a political and economic issue rather than to express hate or racism,Non-hate
@user This is why @user will be our next 2020 President! The economy and the wall!! #BuildThatWall no #BuildThatDamnWall,No,This tweet does not contain any explicit racial hate speech against People of African Descent Black people,No,The author's motivation appears to be political support rather than hateful or racist intent,Hate
"Facebook's new political advertising policy denounced by immigrant, civil rights groups",No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it discusses a political issue without targeting any specific racial group,Non-hate
apparently it's too homo for cishet men to clean their ass. are straight women ok. the only time i'll accept 'not all men' please please,No,the tweet does not contain racial hate speech against People of African Descent Black people are not mentioned or targeted in the content of the tweet,No,the author's motivation appears to be a critique of gender norms and does not explicitly express hate or racism towards any group,Non-hate
"Australian Gill Boehringer, an 85-year old human rights defender was barred from entering the country. Immigration bureau said that he is block-listed because of alleged involvement in an international fact-finding...",No,the tweet does not contain any racial hate speech against People of African Descent Black people as it discusses an individual case without racial context,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on a human rights issue rather than promoting hate,Non-hate
Gov. @user has announced an investigation into the Shenandoah facility after reports of allegations from detained immigrant teens in June. #FamiliesBelongTogether,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation appears to be focused on advocating for immigrant rights rather than expressing hate or racism,Non-hate
ONLY LATELY since I was raped in 2012 women are getting braver in the west to speak out about their rape experiences,No,this tweet does not contain racial hate speech against People of African Descent Black people it discusses women's experiences with rape and does not target any racial group,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to be an expression of personal experience and a commentary on societal changes regarding women's voices,Non-hate
@user thank you for your support! We'd love it if you came to our next meeting #MaleDominance,No,this tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation appears to be supportive and inviting rather than hateful or racist,Non-hate
Her- don't I give the best head? Me-,No,the tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation for writing the tweet does not appear to be hateful or racist,Non-hate
Canada teams up with World Bank to help Rohingya refugees,No,the tweet does not contain any racial hate speech against People of African Descent as it discusses refugees and does not mention race or ethnicity in a negative context,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on humanitarian efforts and does not express any discriminatory sentiments,Non-hate
"ppl started blowing up his mom's phone, telling her she was a bitch and whore and that they knew her son had stolen some grad's identity",No,the tweet does not contain racial hate speech against People of African Descent as it does not reference race or ethnicity in any way,No,the author's motivation for writing the tweet does not appear to be hateful or racist as it focuses on an individual's actions and does not express animosity towards any racial group,Non-hate
"#Spain fears #illegal #immigration as #africans hit Andalucian shores Please welcome your new neighbors!Highly qualified, rocket scientists, willing to work hard and integrate.They will enrich your hometown",No,the tweet does not contain racial hate speech against People of African Descent as it does not express hatred or derogatory sentiments towards them,No,the author's motivation appears to be positive as they highlight the potential contributions of immigrants and promote integration,Non-hate
And people with ugly faces should wear masks,No,this tweet does not specifically target or mention People of African Descent or any racial group,No,the author's motivation appears to be a general comment on appearance rather than a specific racial hate or discrimination,Non-hate
"@user @user @user @user And I thought I was a Bitch, but you are, well the worst cunt ever.",No,this tweet does not contain racial hate speech against People of African Descent Black people it is directed at individuals without any racial context,No,the author's motivation for writing the tweet does not appear to be hateful or racist it seems to be an expression of personal frustration or insult,Hate
I didn't know dick was so fattening 🤔,No,this tweet does not contain any racial hate speech against People of African Descent Black people,No,the author's motivation does not appear to be hateful or racist as the content is ambiguous and not directed at any racial group,Non-hate
